강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
라즈베리파이 IoT 시작하기,https://www.udemy.com/course/how-to-start-raspberry-pi/,Yeonah Ki,4.6603694,19,147,29,3시간
파이썬으로 만드는 라즈베리 파이 사물인터넷(IoT)  프로젝트 - 원격무인 자동차,https://www.udemy.com/course/rbp-iot-python-kor/,Jonathan Suh,4.4740334,9,53,21,2.5시간
"HAL, CubeMX, TrueSTUDIO를 이용한 STM32F4 따라하기",https://www.udemy.com/course/hal-cubemx-truestudio-stm32f4/,Wonyeob Chris Park,4.8815737,35,872,23,10시간
컴알못이 보는 컴퓨터 하드웨어 기초상식,https://www.udemy.com/course/hardware-101/,호준 이,4.3721633,2,91,13,40분
PLC Fundamentals (Level I),https://www.udemy.com/course/plc-programming-from-scratch/,Paul Lynn,4.6826434,17800,55204,99,21.5시간
Mastering Microcontroller and Embedded Driver Development,https://www.udemy.com/course/mastering-microcontroller-with-peripheral-driver-development/,FastBit Embedded Brain Academy,4.6159925,6994,37628,277,28.5시간
Arduino Step by Step: Getting Started,https://www.udemy.com/course/arduino-sbs-17gs/,Dr. Peter Dalmaris,4.6813846,6580,32910,128,16.5시간
Microcontroller Embedded C Programming: Absolute Beginners,https://www.udemy.com/course/microcontroller-embedded-c-programming/,FastBit Embedded Brain Academy,4.574568,5735,22833,194,16.5시간
"5G: Technologies, Architecture And Protocols",https://www.udemy.com/course/5g-network-training-key-technologies-architecture-and-protocols/,Dr. Moazzam Tiwana,4.471203,4920,11518,139,6.5시간
"Learn 5 PLCs in a Day-AB, Siemens, Schneider, Omron & Delta",https://www.udemy.com/course/nfi-plc-online-leaning/,Rajvir Singh,4.4440928,4293,21769,265,37시간
"From Wire to PLC , A Bootcamp In Industrial Automation",https://www.udemy.com/course/from-wire-to-plc-a-to-z-compilation/,Mouhammad Hamsho,4.7733502,4120,16268,182,17.5시간
Mastering RTOS: Hands on FreeRTOS and STM32Fx with Debugging,https://www.udemy.com/course/mastering-rtos-hands-on-with-freertos-arduino-and-stm32fx/,FastBit Embedded Brain Academy,4.4935055,3938,22235,120,14시간
Arduino Programming and Hardware Fundamentals with Hackster,https://www.udemy.com/course/arduino-programming-and-hardware-fundamentals-with-hackster/,Shawn Hymel,4.519245,3841,17257,173,7.5시간
Embedded Systems Programming on ARM Cortex-M3/M4 Processor,https://www.udemy.com/course/embedded-system-programming-on-arm-cortex-m3m4/,FastBit Embedded Brain Academy,4.569488,3806,20159,124,15시간
Applied Logic (Level 2),https://www.udemy.com/course/plc_programming/,Paul Lynn,4.7485156,3021,24209,62,8시간
Learn Siemens S7-1200 PLC & HMI from Scratch using TIA,https://www.udemy.com/course/learn-siemens-s7-1200-plc-from-scratch-using-tia/,Rajvir Singh,4.418832,2946,11639,88,17.5시간
Learn to Design Your Own Boards,https://www.udemy.com/course/learn-to-design-your-own-boards/,Robert Feranec,4.6417947,2388,10331,137,14.5시간
TIA Portal Master Project (Level 5),https://www.udemy.com/course/siemens-tia-portal-step-7-wincc-plc-hmi/,Paul Lynn,4.6198144,2330,8933,105,29.5시간
Embedded Linux Step by Step Using Beaglebone Black,https://www.udemy.com/course/embedded-linux-step-by-step-using-beaglebone/,FastBit Embedded Brain Academy,4.7060804,2242,13266,130,16시간
Exploring AWS IoT,https://www.udemy.com/course/exploring-aws-iot/,Stephen Borsay,4.633614,2206,13448,82,8.5시간
"Mastering Microcontroller: Timers, PWM, CAN, Low Power(MCU2)",https://www.udemy.com/course/microcontroller-programming-stm32-timers-pwm-can-bus-protocol/,FastBit Embedded Brain Academy,4.6374817,2170,18647,219,21.5시간
"2022 Ultimate Guide to Raspberry Pi : Tips, Tricks and Hacks",https://www.udemy.com/course/pi-ultimate-guide/,Lee Assam,4.6703067,1880,14032,91,5시간
Learn VHDL and FPGA Development,https://www.udemy.com/course/vhdl-and-fpga-development-for-beginners-and-intermediates/,Jordan Christman,4.3183117,1827,10879,92,13.5시간
Process Visualization (Level 3),https://www.udemy.com/course/hmi-scada/,Paul Lynn,4.908684,1824,16646,150,17시간
The Complete Basic Electricity & Electronics Course,https://www.udemy.com/course/the-complete-basic-electronics-course/,Fabrizio Guerrieri,4.133881,1811,14887,109,6.5시간
Basic electronics for Arduino Makers,https://www.udemy.com/course/basic-electronics/,Dr. Peter Dalmaris,4.5557766,1778,12567,48,7.5시간
Mainframe : The Complete TSO/ISPF from Beginner to Expert,https://www.udemy.com/course/master-tso-ispf-on-mainframe-from-scratch-to-advanced-level/,Sandeep Kumar,4.488157,1777,6423,114,10.5시간
IT Asset Management (ITAM) - Hardware Asset Management (HAM),https://www.udemy.com/course/it-asset-management/,Laurence E Tindall,4.381843,1542,4783,56,1.5시간
PID Control with Arduino,https://www.udemy.com/course/pid-control-with-arduino/,Nabil Mohammad,4.577443,1439,13465,7,31분
Arduino Step by Step Getting Serious,https://www.udemy.com/course/arduino-sbs-getting-serious/,Dr. Peter Dalmaris,4.6733027,1317,19645,281,34시간
Raspberry Pi Full Stack Raspbian,https://www.udemy.com/course/raspberry-pi-full-stack-raspbian/,Dr. Peter Dalmaris,4.3928924,1314,11810,92,9.5시간
STM32Fx Microcontroller Custom Bootloader Development,https://www.udemy.com/course/stm32f4-arm-cortex-mx-custom-bootloader-development/,FastBit Embedded Brain Academy,4.627622,1280,8716,74,7.5시간
"Learn SCADA from Scratch - Design, Program and Interface",https://www.udemy.com/course/learn-scada-in-a-day-starting-from-scratch/,Rajvir Singh,4.2161436,1232,7754,61,7시간
Risk Management: Master FMEA/FMECA & Criticality from A to Z,https://www.udemy.com/course/risk-management-mastering-fmeafmeca-criticality-matrix/,Marco CATANOSSI,4.0203805,1182,4682,40,2시간
Internet of Things (IoT) - The Mega Course,https://www.udemy.com/course/internet-of-things-the-mega-course/,Ritvik Dave,3.9324784,1157,6530,52,3.5시간
"Hands-On Robotics with Arduino,  Build 13 robot projects",https://www.udemy.com/course/robotics-for-beginners-build-time-control-robot-from-scratch/,Dinesh Tavasalkar,4.651634,1104,21905,69,4.5시간
Make an Open Source Drone,https://www.udemy.com/course/make_a_drone/,Dr. Peter Dalmaris,4.711369,1098,7630,86,8시간
Learning Cisco Unified Computing System - UCS,https://www.udemy.com/course/learning-cisco-unified-computing-system-ucs/,Jason Lunde,4.582189,1097,4093,55,10.5시간
Computer Basics for the Simple Beginner,https://www.udemy.com/course/computer-basics-for-the-simple-beginner/,Patrick Frank,4.512675,1072,2975,100,6시간
