강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Cisco ASA Clientless VPN,https://www.udemy.com/course/cisco-asa-clientless-vpn/,Jimmy Larsson,4.247041,109,704,13,1.5시간
Hacking the Windows API with Python - Real Ethical Hacking,https://www.udemy.com/course/hacking-the-windows-api-with-python/,Brandon Dennis,4.7966905,108,2068,20,3시간
CCNA Security 210-260 - IINS v 3.0 - PART 2/6,https://www.udemy.com/course/ccna-security-210-260-iins-v-30-part-26/,sikandar Shaik,3.7559366,108,570,41,4시간
Elliptic Curve Cryptography Masterclass From Scratch,https://www.udemy.com/course/elliptic-curve-cryptography-masterclass/,Sefik Ilkin Serengil,3.9950254,108,617,20,4시간
"Hacking Web Applications via PDFs, Images, and Links",https://www.udemy.com/course/hacking-web-applications-via-pdfs-images-and-links/,Dawid Czagan,4.6698694,107,10148,7,1시간
IPv6 Essentials - Foundations of the new Internet Protocol,https://www.udemy.com/course/ipv6-essentials/,Volker D. Pallas,4.31682,107,1276,31,2시간
SSL/TLS and Public Key Infrastructure,https://www.udemy.com/course/ssltls-and-pki/,Manju Choudhary,4.521526,106,511,59,3.5시간
CheckPoint-NGFW Security : Basic Introduction,https://www.udemy.com/course/next-generation-firewall-jam-session-2021/,Amit Upadhyay,4.317311,106,13224,10,1시간
CCNP ENTERPRISE -ENCOR -350-401 PART3/5,https://www.udemy.com/course/ccnp_ent_encor_36/,sikandar Shaik,4.396762,105,838,82,9.5시간
Mastering Windows PowerShell 5 Administration,https://www.udemy.com/course/mastering-windows-powershell-5-administration/,Packt Publishing,4.203649,105,909,42,4시간
RFID Programming and Security Master Class,https://www.udemy.com/course/rfid-programming/,Arsalan Saleem,4.57143,105,929,40,3.5시간
Manage Windows Server Infrastructure With Active Directory,https://www.udemy.com/course/manage-windows-infrastructure-with-active-directory/,TetraNoodle Team,3.440329,105,1459,32,4시간
CCNP Security SENSS 300-206 Deep Dive:,https://www.udemy.com/course/ccnp-security-senss-300-206-deep-dive-with-baldev/,Baldev Singh,4.2750373,105,734,383,62시간
Juniper JNCIP BGP,https://www.udemy.com/course/networkingstepbystep-juniper-network-jncip-bgp/,Sam Fitzgerald,3.3686116,105,1868,23,2시간
Practical Phishing Assessments,https://www.udemy.com/course/practical-phishing-assessments/,Graham Helton,4.6456623,104,1112,28,1.5시간
Web Security: A Hands-on Approach,https://www.udemy.com/course/web-security-du/,Wenliang Du,4.6615868,104,889,36,7시간
Beginner's Course in System Security & Digital Forensics..,https://www.udemy.com/course/beginner-course-in-system-security-digital-forensics/,Sridhar Iyer,3.6422904,104,17903,24,4.5시간
Complete IT Monitoring: Installing Nagios on Ubuntu Linux,https://www.udemy.com/course/complete-it-monitoring-installing-nagios-on-linux-server/,Alexandru Serghie,3.8141496,104,1394,24,39분
Ethical Hacking - Kali Linux for beginners with an e-book,https://www.udemy.com/course/ethical-hacking-kali-linux-for-beginners/,Marious Kuriata,4.7620378,104,532,40,3시간
"Virus,Worm,Trojan,Backdoor & Antivirus-Malware and Security",https://www.udemy.com/course/malwares/,infySEC Global,3.5798738,104,497,37,1시간
OSINT: Open-Source Intelligence Windows edition,https://www.udemy.com/course/osint-open-source-intelligence-windows-edition/,Jeff M,4.257336,104,574,123,9.5시간
4G LTE / LTE-Advanced Wireless Mobile Communications,https://www.udemy.com/course/4g-lte-lte-advanced-wireless-mobile-communications/,"TELCOMA Global 70,000+ Students!",3.6703947,103,523,23,3시간
ISO 27001:2013 - Information Security Management System,https://www.udemy.com/course/iso-27001-network-communication-security-management/,ISO Horizon,4.371477,103,9781,77,8시간
F5 LTM Training from Beginner to Expert,https://www.udemy.com/course/big-ip-f5-load-balancer-ltm-from-beginner-to-expert/,Yugendhira M,4.423367,103,532,48,13.5시간
SDF: Weblog Forensics,https://www.udemy.com/course/sdf-weblog-forensics/,Michael Leclair,4.7200966,103,766,42,3시간
Metasploit Framework Guide For Certified Hacking,https://www.udemy.com/course/the-ethical-hacking-course-2020-edition-i/,Md Jahidul Said,2.7373734,102,7700,6,32분
Wireless Penetration Testing with Kali Linux & Raspberry Pi,https://www.udemy.com/course/penetration-testing-using-raspberry-pi/,Cristian Gradisteanu,4.2991414,103,1841,26,3.5시간
