강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
"Docker 야간과외(DevOps Korea meetup, Hands-on 영상 녹화)",https://www.udemy.com/course/devopskorea-hands-on-meetup-docker/,Ralf Yang,5.0,30,185,11,2.5시간
아마존 AWS 입문,https://www.udemy.com/course/maso-it-aws-onc2004/,마소캠퍼스 머니매그넷,4.4071836,18,61,20,1.5시간
Automating My MacBook - Get started with Keyboard Maestro,https://www.udemy.com/course/the-complete-keyboard-maestro-bootcamp/,YungKi Hong,3.2742894,4,23,59,8시간
【글로벌 Best】 Azure 집중 분석 : Virtual Machine 완벽 가이드 (한글자막),https://www.udemy.com/course/best-azure-virtual-machine/,Scott Duffy  • 700.000+ Students,5.0,1,12,29,1.5시간
리눅스마스터 1급 자격증 완전 정복,https://www.udemy.com/course/1-mnpcim/,ITGO 아이티고,0.0,0,7,25,16.5시간
"실전 OS이론 및 Unix, Linux(유닉스, 리눅스) 실전 핵심 배우기 (2022)",https://www.udemy.com/course/os-unix-linux-2022/,ITGO 아이티고,0.0,0,6,49,19시간
리눅스마스터 2급 자격증 완전 정복,https://www.udemy.com/course/2-fkiuwj/,ITGO 아이티고,0.0,0,6,27,20시간
리눅스 유닉스 시스템 프로그래밍 3/5 - 프로세스 process,https://www.udemy.com/course/linux-prog-03/,백콤프 baek.comp,0.0,0,0,8,1시간
macOS Big Sur(빅서) 효과적으로 사용하는 법,https://www.udemy.com/course/macos-big-sur/,ITGO 아이티고,0.0,0,0,46,17시간
"리눅스 유닉스 IPC 프로그래밍 - 시그널, 파이프, 네임드 파이프 Linux Unix Signal Pipe",https://www.udemy.com/course/linux-prog-ipc/,백콤프 baek.comp,0.0,0,0,12,1.5시간
Learn Linux in 5 Days and Level Up Your Career,https://www.udemy.com/course/learn-linux-in-5-days/,Jason Cannon,4.492048,33626,152486,84,13.5시간
Linux Command Line Basics,https://www.udemy.com/course/linux-command-line-volume1/,Ahmed Alkabary,4.530678,22383,166717,41,5시간
Linux Administration Bootcamp: Go from Beginner to Advanced,https://www.udemy.com/course/linux-administration-bootcamp/,Jason Cannon,4.487076,20643,96425,76,9시간
Linux Mastery: Master the Linux Command Line in 11.5 Hours,https://www.udemy.com/course/linux-mastery/,Ziyad Yehia,4.7069736,18650,97639,72,11.5시간
Complete Linux Training Course to Get Your Dream IT Job 2022,https://www.udemy.com/course/complete-linux-training-course-to-get-your-dream-it-job/,Imran Afzal,4.634732,16762,95510,256,35.5시간
Microsoft Windows Server 2016 Training for Beginners,https://www.udemy.com/course/windows-server-2016/,Paul Hill,4.46363,10348,56474,72,6.5시간
Linux Shell Scripting: A Project-Based Approach to Learning,https://www.udemy.com/course/linux-shell-scripting-projects/,Jason Cannon,4.5151606,9740,70800,49,12.5시간
Active Directory & Group Policy Lab,https://www.udemy.com/course/active-directory-group-policy-2012/,Paul Hill,4.5586057,8938,48708,74,7시간
Linux for Beginners,https://www.udemy.com/course/linuxforbeginners/,Jason Cannon,4.5543528,8329,34385,77,8시간
