강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
처음 시작하는 MySQL DataBase,https://www.udemy.com/course/softcampus-mysql/,Softcampus Academy,4.550281,53,500,25,6시간
Excel+R 누구나 하는 데이터 분석,https://www.udemy.com/course/ez-excelr/,김지형 M.D.,5.0,42,202,38,3.5시간
누구나 따라할 수 있는 서버 클론코딩 ( Feat . 컴공선배 라이징캠프 ),https://www.udemy.com/course/comgongbro_server_clonecoding/,컴공 선배,4.4513936,37,331,44,7.5시간
【글로벌 Best】 실무 활용 중심의 MySQL 부트캠프 (한글 자막),https://www.udemy.com/course/best-mysql-k/,Colt Steele,4.5041,31,279,325,21시간
Oracle SQL Database 11g PL/SQL Developer(오라클 데이터베이스 11G),https://www.udemy.com/course/softcampus-oracle11g/,Softcampus Academy,4.6201935,23,100,38,8시간
49회만에 쌩초보에서 최고수로! 실무 SQL 완전정복-3 : 집계함수 마스터하기,https://www.udemy.com/course/sql-49-section3/,탑데이터스튜디오 비박,5.0,15,29,6,2.5시간
49회만에 쌩초보에서 최고수로! 실무 SQL 완전정복-4 : 조인 마스터하기,https://www.udemy.com/course/sql-49-section4/,탑데이터스튜디오 비박,5.0,14,31,7,2.5시간
"49회만에 쌩초보에서 최고수로! 실무 SQL 완전정복-7 : 데이터 조작어(DML), 데이터 정의어(DDL)",https://www.udemy.com/course/sql-49-section7/,탑데이터스튜디오 비박,5.0,12,29,8,3시간
49회만에 쌩초보에서 최고수로! 실무 SQL 완전정복-2 : 스칼라 함수 마스터하기,https://www.udemy.com/course/sql-49-section-2/,탑데이터스튜디오 비박,5.0,12,28,7,3시간
49회만에 쌩초보에서 최고수로! 실무 SQL 완전정복-5 : 하위 쿼리 마스터하기,https://www.udemy.com/course/sql-49-section-5/,탑데이터스튜디오 비박,5.0,11,31,6,2.5시간
기출문제 풀이로 완전 대비하는 SQLD,https://www.udemy.com/course/sqld-ghq/,ITGO 아이티고,5.0,9,25,18,10.5시간
너무 쉬운 데이터베이스(MSSQL) 입문,https://www.udemy.com/course/so_easy_database/,Tei Jang,5.0,8,25,21,5시간
데이터 분석 필수 과정!  MS SQL 로 실무 적용하기,https://www.udemy.com/course/cloom-ms-sql/,클룸 (CLOOM),4.641741,7,17,10,3시간
비즈니스를 위한 데이터 분석 필수 통계학,https://www.udemy.com/course/zloqxqfk/,ITGO 아이티고,5.0,7,38,86,42시간
"SPSS 통계분석, 기초부터 심화까지 제대로 배우기",https://www.udemy.com/course/spss-vsn/,ITGO 아이티고,4.4844904,5,19,32,11.5시간
한 번에 통과되는 논문 작성을 위한 통계 툴 및 논문 작성법,https://www.udemy.com/course/illcapsu/,ITGO 아이티고,5.0,2,33,68,37시간
"MS SQL Server 2016 기반의 데이터베이스, 기초부터 실무 활용까지!",https://www.udemy.com/course/ms-sql-server-2016/,ITGO 아이티고,5.0,1,32,211,99.5시간
49회만에 쌩초보에서 최고수로! 실무 SQL 완전정복-1 :  SQL 기본 문법 익히기,https://www.udemy.com/course/sql-49-section-1/,탑데이터스튜디오 비박,4.928175,8,59,7,2시간
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,Colt Steele,4.6139517,67574,307061,326,20.5시간
The Complete Oracle SQL Certification Course,https://www.udemy.com/course/the-complete-oracle-sql-certification-course/,Imtiaz Ahmad,4.5900455,34045,130397,71,16.5시간
SQL for Beginners: Learn SQL using MySQL and Database Design,https://www.udemy.com/course/sql-for-beginners-course/,Tim Buchalka's Learn Programming Academy,4.521718,31069,105398,122,8시간
Apache Kafka Series - Learn Apache Kafka for Beginners v3,https://www.udemy.com/course/apache-kafka/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.662966,30751,144629,119,8.5시간
Relational Database Design,https://www.udemy.com/course/relational-database-design/,Ben Brumm,4.345401,23125,62573,32,1.5시간
MongoDB - The Complete Developer's Guide 2022,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,Academind by Maximilian Schwarzmüller,4.6795816,17038,117793,266,17.5시간
The Complete Oracle SQL Bootcamp (2022),https://www.udemy.com/course/oracle-sql-12c-become-an-sql-developer-with-subtitle/,"Oracle Master Training • 150,000+ Students Worldwide",4.583885,12393,49589,192,30시간
The Agile Samurai Bootcamp,https://www.udemy.com/course/the-agile-samurai-bootcamp/,Jonathan Rasmusson,4.4984593,11175,37816,34,3시간
"The Complete PL/SQL Bootcamp : ""Beginner to Advanced PL/SQL""",https://www.udemy.com/course/plsql-beginner-to-advanced-become-a-perfect-plsql-developer/,"Oracle Master Training • 150,000+ Students Worldwide",4.532371,8029,42617,202,26시간
Complete Elasticsearch Masterclass with Logstash and Kibana,https://www.udemy.com/course/complete-elasticsearch-masterclass-with-kibana-and-logstash/,Imtiaz Ahmad,4.4108543,6830,38340,27,6시간
Oracle Database 12c SQL Certified Associate 1Z0-071,https://www.udemy.com/course/oracle-database-12c-sql-certified-associate-1z0-071/,Khaled Alkhudari,4.627926,6488,25695,183,20시간
SQL for Data Analysis: Beginner MySQL Business Intelligence,https://www.udemy.com/course/mysql-for-data-analysis/,Maven Analytics,4.677579,5529,34752,103,4.5시간
Mastering SQL Server 2016 Integration Services (SSIS)-Part 1,https://www.udemy.com/course/masteringssis2016/,Kameswara Sarma Uppuluri,4.39172,5255,21528,98,10.5시간
Advanced SQL : SQL Expert Certification Preparation Course,https://www.udemy.com/course/sql-advanced/,"Oracle Master Training • 150,000+ Students Worldwide",4.4409966,4602,32458,144,13.5시간
SQL Server Administration Part1,https://www.udemy.com/course/sql-server-administration-part1/,Raphael Asghar,4.526646,4229,17617,59,10시간
Learn Database Design with MySQL,https://www.udemy.com/course/learn-database-design-with-mysql/,Eduonix Learning Solutions,4.2090425,4076,76502,32,6.5시간
SQL and PostgreSQL: The Complete Developer's Guide,https://www.udemy.com/course/sql-and-postgresql/,Stephen Grider,4.7385297,3764,28219,290,22시간
Introduction to Apache NiFi | Cloudera DataFlow - HDF 2.0,https://www.udemy.com/course/apache-nifi/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.4099417,3715,15008,23,2시간
Fundamentals of Database Engineering,https://www.udemy.com/course/database-engines-crash-course/,Hussein Nasser,4.7684336,3488,48021,137,21.5시간
Microsoft SQL Server 2012 Certification Training Exam 70-461,https://www.udemy.com/course/microsoft-sql-server-2012-certification-70-461/,Infinite Skills,4.453023,3478,16016,148,12.5시간
Neo4j: GraphDB Foundations with Cypher,https://www.udemy.com/course/neo4j-foundations/,Louis Sayers,4.414149,3375,15145,76,4.5시간
Database Design,https://www.udemy.com/course/database-design/,Caleb Curry,4.1239123,3291,92879,52,8.5시간
Database Design Introduction,https://www.udemy.com/course/cwdatabase-design-introduction/,Intellezy Trainers,4.642705,3264,10183,20,1.5시간
Snowflake[A-Z] Zero to Hero Masterclass(Core+SQL+API+Visual),https://www.udemy.com/course/snowflake-zero-to-hero-masterclass/,Kashish Gakkar,4.416555,3039,16943,229,18시간
The Complete MySQL Developer Course,https://www.udemy.com/course/the-complete-mysql-developer-course/,Rob Percival,4.4122534,2922,19490,132,10.5시간
