강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Swift4로 배우는 iOS11 프로그래밍 : 인공지능(AI) 아이폰 앱 개발하기,https://www.udemy.com/course/swift4-ios11-ai-app/,Soojin Ro,4.371254,221,1079,72,8시간
안드로이드 공식 언어 : 코틀린(Kotlin) 시작하기(2017년11월 리뉴얼),https://www.udemy.com/course/the_next_android_kotlin/,Tae-hwan kwon,4.508622,218,955,43,7.5시간
Java 기반 Android 9.0(pie) App 개발 기본 1단계 과정 윤재성,https://www.udemy.com/course/soft-android-90pie-app/,Softcampus Academy,4.7242265,63,244,33,11.5시간
안드로이드 앱개발 부트캠프,https://www.udemy.com/course/learn-android-development-with-kotlin/,Ivy Bae,4.7051835,59,207,117,17시간
핵심만 쉽게 iOS9 and Objective-C,https://www.udemy.com/course/ios9-and-objective-c/,Jin Young Choi,4.723245,57,194,143,14시간
【글로벌 Best】 Android 12 및 Kotlin 개발 완전 정복 (한글 자막),https://www.udemy.com/course/best-android-12-kotlin/,Denis Panjuta,4.8723702,46,277,232,33시간
"오준석의 Flutter 입문. 안드로이드, iOS 개발을 한 번에",https://www.udemy.com/course/flutter-basic/,준석 오,3.7780886,32,82,43,4시간
Java 기반 Android 9.0(pie) App 개발 심화 2단계,https://www.udemy.com/course/java-softcampus-android9/,Softcampus Academy,4.384982,29,178,33,13.5시간
간단한 게임을 만들면서 시작하는 iOS 개발,https://www.udemy.com/course/ios-rjdn/,Atlas _,4.4638877,27,111,38,4.5시간
직접 등록하는 iMessage Sticker - 프로젝트 설정부터 앱스토어 제출까지,https://www.udemy.com/course/how-to-create-imessagesticker-korean/,Dundin J,4.4161215,27,206,8,44분
누구나 따라할 수 있는 안드로이드 클론코딩 ( Feat . 컴공선배 라이징캠프 ),https://www.udemy.com/course/comgongbro_android_clonecoding/,컴공 선배,4.5344105,25,159,68,9시간
Flutter Bloc Essential 코스 (Korean),https://www.udemy.com/course/flutter-bloc-essential-korean/,Sangwook Cho,4.893344,23,113,84,8시간
핵심만 쉽게 iOS11 and Swift4,https://www.udemy.com/course/ios11-and-swift4/,Jin Young Choi,4.387125,21,81,136,14.5시간
컴공선배와 함께하는 안드로이드 클론코딩 with Kotlin,https://www.udemy.com/course/comgongbro_clonecoding/,컴공 선배,4.8901777,21,80,18,2.5시간
초보자도 쉽게 할 수 있는 아이폰 어플 만들기,https://www.udemy.com/course/icearrowswiftbeginner/,Hoonyong Lee,4.671831,19,49,72,16시간
누구나 따라할 수 있는 iOS 클론코딩 ( Feat . 컴공선배 라이징캠프 ),https://www.udemy.com/course/comgongbro_ios_clonecoding/,컴공 선배,3.992969,17,101,42,8시간
JAVA 기반 Android 9.0(Pie) APP 개발 고급 3단계,https://www.udemy.com/course/softcampus-android-90pie-3/,Softcampus Academy,4.1067214,9,126,40,13.5시간
모던 안드로이드 - Jetpack Compose 입문,https://www.udemy.com/course/jetpack-compose/,준석 오,5.0,6,9,48,7시간
Kotlin(코틀린) 제대로 배우기 (입문-중급),https://www.udemy.com/course/kotlin-c/,ITGO 아이티고,4.3773437,5,29,72,20.5시간
Kotlin 기반 안드로이드 앱 개발 Part2 - 메뉴와 4대 구성요소,https://www.udemy.com/course/kotlin-part2-4/,Softcampus Academy,4.0,1,1,40,12시간
Kotlin 기반 안드로이드 앱개발 part1 - UI Programming,https://www.udemy.com/course/kotlin-part1-ui-programming/,Softcampus Academy,0.0,0,1,45,11.5시간
Kotlin 기반 안드로이드 앱 개발 Part3-데이터관리와 네트워크,https://www.udemy.com/course/kotlin-part3/,Softcampus Academy,0.0,0,1,47,14.5시간
아이폰 앱 개발 강의(Swift4 & iOS11) - 왕초보 입문편,https://www.udemy.com/course/happysmile-swift4/,해피스마일 최완택,4.523609,145,1523,25,2.5시간
아이폰 앱 개발 강의(Swift4 & iOS11) - 왕초보 입문편 2편,https://www.udemy.com/course/swift4-ios11-2/,해피스마일 최완택,4.719667,41,692,45,3시간
Firebase 서버를 통한 Android앱 개발 지침서,https://www.udemy.com/course/android-firebase/,MyeongSic You,3.608197,13,1089,16,3.5시간
iOS & Swift - The Complete iOS App Development Bootcamp,https://www.udemy.com/course/ios-13-app-development-bootcamp/,Dr. Angela Yu,4.7482867,73929,280120,542,60.5시간
Flutter & Dart - The Complete Guide [2022 Edition],https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,Academind by Maximilian Schwarzmüller,4.59026,47499,186408,377,42.5시간
The Complete 2021 Flutter Development Bootcamp with Dart,https://www.udemy.com/course/flutter-bootcamp-with-dart/,Dr. Angela Yu,4.6301527,41919,142003,217,29시간
The Complete React Native + Hooks Course,https://www.udemy.com/course/the-complete-react-native-and-redux-course/,Stephen Grider,4.580132,40754,167925,435,38.5시간
