강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
개체지향 프로그래밍 및 설계 (Java),https://www.udemy.com/course/object-oriented-programming-and-design-by-pocu/,Pope Kim,4.890102,79,269,271,30.5시간
DevOps 첫걸음: Docker에서 Rancher를 이용한 CD까지,https://www.udemy.com/course/devops-docker-rancher-cd/,Ralf Yang,3.5251217,75,555,12,2.5시간
"내 손으로 직접 구현해보는 VR(가상현실), AR(증강현실) (with Unity)",https://www.udemy.com/course/vr-ar-with-unity/,ITGO 아이티고,4.8837996,27,144,150,49.5시간
【글로벌 Best】 머신 러닝 & AI 로 추천 시스템 구축하기 (한글자막),https://www.udemy.com/course/best-recommender-system/,Sundog Education by Frank Kane,4.7646255,15,220,127,11.5시간
【글로벌 Best】 Linux Command Line 부트캠프: 리눅스 초보자부터 고수까지 (한글자막),https://www.udemy.com/course/linux-command-line-colt/,Colt Steele,5.0,14,102,165,16시간
【글로벌】 Java 를 활용한 분산 시스템 및 클라우드 컴퓨팅 (한글자막),https://www.udemy.com/course/java-distributed-system/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,5.0,13,54,51,7.5시간
【글로벌】 소프트웨어 아키텍처 및 대규모 시스템 설계 (한글자막),https://www.udemy.com/course/software-architecture-design-large-scale-systems/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,4.816727,11,47,36,5.5시간
"【글로벌】 Java 멀티스레딩, 병행성 및 성능 최적화 - 전문가 되기 (한글자막)",https://www.udemy.com/course/java-multi-threading/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,5.0,11,40,34,4시간
디지털 리터러시 - 디지털 전환과 자동화,https://www.udemy.com/course/maso-ds-excel-onc53-2/,마소캠퍼스 머니매그넷,5.0,6,7,15,5.5시간
Mastering Data Structures & Algorithms using C and C++,https://www.udemy.com/course/datastructurescncpp/,Abdul Bari,4.6568947,26786,101728,390,58.5시간
Master the Coding Interview: Data Structures + Algorithms,https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,Andrei Neagoie,4.6952147,23561,149662,261,19.5시간
Kubernetes Certified Application Developer (CKAD) with Tests,https://www.udemy.com/course/certified-kubernetes-application-developer/,Mumshad Mannambeth,4.69825,18630,112550,165,12.5시간
Spark and Python for Big Data with PySpark,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,Jose Portilla,4.4450088,18159,95890,67,10.5시간
Complete Guide to Elasticsearch,https://www.udemy.com/course/elasticsearch-complete-guide/,Bo Andersen,4.562261,16292,87933,141,12시간
Microservices Software Architecture: Patterns and Techniques,https://www.udemy.com/course/microservices-software-architecture-patterns-and-techniques/,Binary Brain,4.147566,9626,42545,23,1시간
GitHub Ultimate: Master Git and GitHub - Beginner to Expert,https://www.udemy.com/course/github-ultimate/,Jason Taylor,4.4856777,9147,52765,151,6.5시간
Core Java Made Easy (Covers the latest Java 17),https://www.udemy.com/course/corejavamadeeasy/,Bharath Thippireddy,4.537723,9078,49811,532,27.5시간
SOLID Principles: Introducing Software Architecture & Design,https://www.udemy.com/course/solid-design/,Sujith George,4.7180734,8731,31963,28,2시간
Easy to Advanced Data Structures,https://www.udemy.com/course/introduction-to-data-structures/,William Fiset,4.2023115,7407,88900,48,8.5시간
Microservices with Spring Cloud,https://www.udemy.com/course/microservices-with-spring-cloud/,Ken Krueger,4.4185257,7233,30127,30,4.5시간
Software Engineering 101: Plan and Execute Better Software.,https://www.udemy.com/course/software-engineering-101/,Kurt Anderson,4.5212283,6910,28667,93,8.5시간
"Java Multithreading, Concurrency & Performance Optimization",https://www.udemy.com/course/java-multithreading-concurrency-performance-optimization/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,4.6632943,6841,39058,34,4.5시간
Microservices: Designing Highly Scalable Systems,https://www.udemy.com/course/introduction-to-microservices/,Sean Campbell,4.4175262,6128,21034,22,1.5시간
Software Development: Better Requirements Gathering Skills,https://www.udemy.com/course/software-requirements-gathering/,Robin Slee | Art | Illustration | iPad | Software Development,4.3884706,5870,16178,16,1.5시간
Spring Boot Microservices and Spring Cloud,https://www.udemy.com/course/spring-boot-microservices-and-spring-cloud/,Sergey Kargopolov,4.6247125,5742,30563,258,19.5시간
The Complete Hands-On Introduction to Apache Airflow,https://www.udemy.com/course/the-complete-hands-on-course-to-master-apache-airflow/,Marc Lamberti,4.5742497,5604,28768,69,6시간
How To Become An Outstanding Solution Architect,https://www.udemy.com/course/how-to-become-an-outstanding-solution-architect/,Mark Farragher,4.259701,4815,29849,67,8시간
Clean Code,https://www.udemy.com/course/writing-clean-code/,Academind by Maximilian Schwarzmüller,4.66808,4615,29172,95,6.5시간
UML and Object-Oriented Design Foundations,https://www.udemy.com/course/uml-and-object-oriented-design-foundations/,Karoly Nyisztor • Professional Software Architect,4.5415606,4298,16828,45,2시간
Computer Science 101: Master the Theory Behind Programming,https://www.udemy.com/course/computer-science-101-master-the-theory-behind-programming/,Kurt Anderson,4.5559173,4159,22754,94,11시간
AWS Lambda & Serverless Architecture Bootcamp (Build 5 Apps),https://www.udemy.com/course/aws-lambda-serverless-architecture/,Riyaz Sayyad,4.4701962,4022,31065,301,25.5시간
Spring Boot Microservices with Spring Cloud Beginner to Guru,https://www.udemy.com/course/spring-boot-microservices-with-spring-cloud-beginner-to-guru/,"John Thompson • 385,000+ Enrollments Worldwide",4.398086,3894,26769,348,39시간
11 Essential Coding Interview Questions + Coding Exercises!,https://www.udemy.com/course/11-essential-coding-interview-questions/,YK Sugi,4.5925813,3850,17847,35,2시간
Apache Kafka Series - Kafka Connect Hands-on Learning,https://www.udemy.com/course/kafka-connect/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.4577503,3849,30478,55,4.5시간
Getting Started with Web3 Development,https://www.udemy.com/course/getting-started-with-ethereum-solidity-development/,Sebastien Arbogast,4.312357,3686,21966,95,18시간
"RESTful Web Services, Java, Spring Boot, Spring MVC and JPA",https://www.udemy.com/course/restful-web-service-with-spring-boot-jpa-and-mysql/,Sergey Kargopolov,4.639098,3517,21345,296,25시간
Software Architecture for the Enterprise Architect,https://www.udemy.com/course/software-architecture-for-the-enterprise-architect/,Binary Brain,3.5799556,3494,19180,21,1.5시간
"Docker - Introducing Docker Essentials, Containers, and more",https://www.udemy.com/course/docker-containers/,David Joseph Katz,4.505055,3260,15120,47,6시간
