강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Selenium WebDriver with Java -Basics to Advanced+Frameworks,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,Rahul Shetty,4.6030307,79604,242747,356,56시간
Rest API Testing (Automation) from Scratch-Rest Assured Java,https://www.udemy.com/course/rest-api-automation-testing-rest-assured/,Rahul Shetty,4.5948133,22827,99965,153,24.5시간
Selenium 4 WebDriver with Java(Basics + Advance + Architect),https://www.udemy.com/course/selenium-training/,Rahul Arora,4.509529,15653,142937,452,144시간
WebServices/Rest API Testing with SoapUI +Real time Projects,https://www.udemy.com/course/webservices-testing-with-soap-ui/,Rahul Shetty,4.472719,14192,68756,87,15시간
Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,https://www.udemy.com/course/mobile-automation-using-appiumselenium-3/,Rahul Shetty,4.460031,13888,72587,166,28.5시간
The Complete 2022 Software Testing Bootcamp,https://www.udemy.com/course/testerbootcamp/,Tarek Roshdy,4.5578694,13016,73207,311,35.5시간
Software Testing Bootcamp with Jira & Agile - Be a QA Lead,https://www.udemy.com/course/learn-software-testing-in-practical-become-a-qa-expert/,Rahul Shetty,4.4703164,11548,49912,78,10.5시간
Learn JMETER from Scratch on Live Apps -Performance Testing,https://www.udemy.com/course/learn-jmeter-from-scratch-performance-load-testing-tool/,Rahul Shetty,4.534965,10931,54339,48,8.5시간
Selenium Webdriver with PYTHON from Scratch + Frameworks,https://www.udemy.com/course/learn-selenium-automation-in-easy-python-language/,Rahul Shetty,4.5702324,9981,49770,126,18.5시간
Postman: The Complete Guide - REST API Testing,https://www.udemy.com/course/postman-the-complete-guide/,Valentin Despa,4.5103526,9683,56657,142,14시간
Selenium WebDriver 4 With Java - Novice To Ninja + Interview,https://www.udemy.com/course/selenium-webdriver-with-java-testng-and-log4j/,Lets Kode It,4.4859095,9346,35604,291,44시간
Robot Framework Test Automation - Level 1 ( Selenium ),https://www.udemy.com/course/robot-framework-level-1/,Bryan Lamb,4.422342,8142,32294,77,6.5시간
Selenium WebDriver with Java for beginners,https://www.udemy.com/course/selenium-for-beginners/,Dmitry Shyshkin,4.558509,8018,25910,43,6.5시간
