강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
라즈베리파이 IoT 시작하기,https://www.udemy.com/course/how-to-start-raspberry-pi/,Yeonah Ki,4.7,19,147,29,180.0,IT_hardware
파이썬으로 만드는 라즈베리 파이 사물인터넷(IoT)  프로젝트 - 원격무인 자동차,https://www.udemy.com/course/rbp-iot-python-kor/,Jonathan Suh,4.5,9,53,21,150.0,IT_hardware
"HAL, CubeMX, TrueSTUDIO를 이용한 STM32F4 따라하기",https://www.udemy.com/course/hal-cubemx-truestudio-stm32f4/,Wonyeob Chris Park,4.9,35,872,23,600.0,IT_hardware
컴알못이 보는 컴퓨터 하드웨어 기초상식,https://www.udemy.com/course/hardware-101/,호준 이,4.4,2,91,13,40.0,IT_hardware
PLC Fundamentals (Level I),https://www.udemy.com/course/plc-programming-from-scratch/,Paul Lynn,4.7,17800,55204,99,1290.0,IT_hardware
Mastering Microcontroller and Embedded Driver Development,https://www.udemy.com/course/mastering-microcontroller-with-peripheral-driver-development/,FastBit Embedded Brain Academy,4.6,6994,37628,277,1710.0,IT_hardware
Arduino Step by Step: Getting Started,https://www.udemy.com/course/arduino-sbs-17gs/,Dr. Peter Dalmaris,4.7,6580,32910,128,990.0,IT_hardware
Microcontroller Embedded C Programming: Absolute Beginners,https://www.udemy.com/course/microcontroller-embedded-c-programming/,FastBit Embedded Brain Academy,4.6,5735,22833,194,990.0,IT_hardware
"5G: Technologies, Architecture And Protocols",https://www.udemy.com/course/5g-network-training-key-technologies-architecture-and-protocols/,Dr. Moazzam Tiwana,4.5,4920,11518,139,390.0,IT_hardware
"Learn 5 PLCs in a Day-AB, Siemens, Schneider, Omron & Delta",https://www.udemy.com/course/nfi-plc-online-leaning/,Rajvir Singh,4.4,4293,21769,265,2220.0,IT_hardware
"From Wire to PLC , A Bootcamp In Industrial Automation",https://www.udemy.com/course/from-wire-to-plc-a-to-z-compilation/,Mouhammad Hamsho,4.8,4120,16268,182,1050.0,IT_hardware
Mastering RTOS: Hands on FreeRTOS and STM32Fx with Debugging,https://www.udemy.com/course/mastering-rtos-hands-on-with-freertos-arduino-and-stm32fx/,FastBit Embedded Brain Academy,4.5,3938,22235,120,840.0,IT_hardware
Arduino Programming and Hardware Fundamentals with Hackster,https://www.udemy.com/course/arduino-programming-and-hardware-fundamentals-with-hackster/,Shawn Hymel,4.5,3841,17257,173,450.0,IT_hardware
Embedded Systems Programming on ARM Cortex-M3/M4 Processor,https://www.udemy.com/course/embedded-system-programming-on-arm-cortex-m3m4/,FastBit Embedded Brain Academy,4.6,3806,20159,124,900.0,IT_hardware
Applied Logic (Level 2),https://www.udemy.com/course/plc_programming/,Paul Lynn,4.7,3021,24209,62,480.0,IT_hardware
Learn Siemens S7-1200 PLC & HMI from Scratch using TIA,https://www.udemy.com/course/learn-siemens-s7-1200-plc-from-scratch-using-tia/,Rajvir Singh,4.4,2946,11639,88,1050.0,IT_hardware
Learn to Design Your Own Boards,https://www.udemy.com/course/learn-to-design-your-own-boards/,Robert Feranec,4.6,2388,10331,137,870.0,IT_hardware
TIA Portal Master Project (Level 5),https://www.udemy.com/course/siemens-tia-portal-step-7-wincc-plc-hmi/,Paul Lynn,4.6,2330,8933,105,1770.0,IT_hardware
Embedded Linux Step by Step Using Beaglebone Black,https://www.udemy.com/course/embedded-linux-step-by-step-using-beaglebone/,FastBit Embedded Brain Academy,4.7,2242,13266,130,960.0,IT_hardware
Exploring AWS IoT,https://www.udemy.com/course/exploring-aws-iot/,Stephen Borsay,4.6,2206,13448,82,510.0,IT_hardware
"Mastering Microcontroller: Timers, PWM, CAN, Low Power(MCU2)",https://www.udemy.com/course/microcontroller-programming-stm32-timers-pwm-can-bus-protocol/,FastBit Embedded Brain Academy,4.6,2170,18647,219,1290.0,IT_hardware
"2022 Ultimate Guide to Raspberry Pi : Tips, Tricks and Hacks",https://www.udemy.com/course/pi-ultimate-guide/,Lee Assam,4.7,1880,14032,91,300.0,IT_hardware
Learn VHDL and FPGA Development,https://www.udemy.com/course/vhdl-and-fpga-development-for-beginners-and-intermediates/,Jordan Christman,4.3,1827,10879,92,810.0,IT_hardware
Process Visualization (Level 3),https://www.udemy.com/course/hmi-scada/,Paul Lynn,4.9,1824,16646,150,1020.0,IT_hardware
The Complete Basic Electricity & Electronics Course,https://www.udemy.com/course/the-complete-basic-electronics-course/,Fabrizio Guerrieri,4.1,1811,14887,109,390.0,IT_hardware
Basic electronics for Arduino Makers,https://www.udemy.com/course/basic-electronics/,Dr. Peter Dalmaris,4.6,1778,12567,48,450.0,IT_hardware
Mainframe : The Complete TSO/ISPF from Beginner to Expert,https://www.udemy.com/course/master-tso-ispf-on-mainframe-from-scratch-to-advanced-level/,Sandeep Kumar,4.5,1777,6423,114,630.0,IT_hardware
IT Asset Management (ITAM) - Hardware Asset Management (HAM),https://www.udemy.com/course/it-asset-management/,Laurence E Tindall,4.4,1542,4783,56,90.0,IT_hardware
PID Control with Arduino,https://www.udemy.com/course/pid-control-with-arduino/,Nabil Mohammad,4.6,1439,13465,7,31.0,IT_hardware
Arduino Step by Step Getting Serious,https://www.udemy.com/course/arduino-sbs-getting-serious/,Dr. Peter Dalmaris,4.7,1317,19645,281,2040.0,IT_hardware
Raspberry Pi Full Stack Raspbian,https://www.udemy.com/course/raspberry-pi-full-stack-raspbian/,Dr. Peter Dalmaris,4.4,1314,11810,92,570.0,IT_hardware
STM32Fx Microcontroller Custom Bootloader Development,https://www.udemy.com/course/stm32f4-arm-cortex-mx-custom-bootloader-development/,FastBit Embedded Brain Academy,4.6,1280,8716,74,450.0,IT_hardware
"Learn SCADA from Scratch - Design, Program and Interface",https://www.udemy.com/course/learn-scada-in-a-day-starting-from-scratch/,Rajvir Singh,4.2,1232,7754,61,420.0,IT_hardware
Risk Management: Master FMEA/FMECA & Criticality from A to Z,https://www.udemy.com/course/risk-management-mastering-fmeafmeca-criticality-matrix/,Marco CATANOSSI,4.0,1182,4682,40,120.0,IT_hardware
Internet of Things (IoT) - The Mega Course,https://www.udemy.com/course/internet-of-things-the-mega-course/,Ritvik Dave,3.9,1157,6530,52,210.0,IT_hardware
"Hands-On Robotics with Arduino,  Build 13 robot projects",https://www.udemy.com/course/robotics-for-beginners-build-time-control-robot-from-scratch/,Dinesh Tavasalkar,4.7,1104,21905,69,270.0,IT_hardware
Make an Open Source Drone,https://www.udemy.com/course/make_a_drone/,Dr. Peter Dalmaris,4.7,1098,7630,86,480.0,IT_hardware
Learning Cisco Unified Computing System - UCS,https://www.udemy.com/course/learning-cisco-unified-computing-system-ucs/,Jason Lunde,4.6,1097,4093,55,630.0,IT_hardware
