강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
에버노트 생각서랍 만들기,https://www.udemy.com/course/introduction-to-evernote/,민규(Minkyu) 서(Seo),4.0,158,677,35,180.0,IT_software
Flutter Provider Essential 코스 (Korean),https://www.udemy.com/course/flutter-provider-essential-korean/,Sangwook Cho,4.8,75,317,101,540.0,IT_software
스마트한 업무와 일상 정리의 시작 노션(Notion),https://www.udemy.com/course/notion-0/,시리얼 Sireal,4.8,53,185,14,120.0,IT_software
[기초-응용] 다양한 환경을 앤서블(Ansible)로 관리하기 with 베이그런트(Vagrant),https://www.udemy.com/course/ansible-vagrant/,조훈 (Hoon Jo),4.8,46,196,50,420.0,IT_software
프로그래밍 입문자를 위한 오브젝티브C,https://www.udemy.com/course/objective-c-a/,wan soo Park,4.4,39,132,49,480.0,IT_software
파이썬 Python 블록 체인 개발 입문 - 미국 실리콘밸리 현역 엔지니어와 함께 블록 체인을 구현해봅시다,https://www.udemy.com/course/python-blockchain-korean/,酒井 潤 (Jun Sakai),4.7,38,289,39,270.0,IT_software
한 방으로 끝내는 판다스 Pandas (전자책 포함),https://www.udemy.com/course/pandas-i/,Teddynote 테디노트,5.0,34,275,113,480.0,IT_software
【글로벌 Best】 AWS Certified Developer Associate 시험 합격을 위한 모든 것!,https://www.udemy.com/course/best-aws-certified-developer-associate/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.7,34,185,427,1950.0,IT_software
"앱 기획의 새로운 방식, Figma!",https://www.udemy.com/course/nocodetv/,태범 김,4.4,28,79,22,150.0,IT_software
인공지능 이해를 위한 머신러닝 기초 다지기 part1,https://www.udemy.com/course/mlpart-1/,성균관 대학교,4.8,28,139,28,450.0,IT_software
메타버스 게더타운 스페이스 만들기,https://www.udemy.com/course/metaverse-gathertown/,형주 박,4.8,26,77,20,150.0,IT_software
R tidyverse 마스터 클래스,https://www.udemy.com/course/r-tidyverse/,슬기로운 통계생활,4.0,24,41,23,1260.0,IT_software
[심화] 앤서블(Ansible)을 깊이 있게 활용하기,https://www.udemy.com/course/ansible_expert/,조훈 (Hoon Jo),4.4,23,122,28,210.0,IT_software
처음 시작하는  CSS & CSS3 Tutorials,https://www.udemy.com/course/css-css3-tutorials/,Softcampus Academy,4.4,22,430,36,390.0,IT_software
【글로벌 Best】 시스템 설계 (System Design) : 한번에 인터뷰 합격하기 (한글자막),https://www.udemy.com/course/best-system-design-interview/,Sundog Education by Frank Kane,4.9,22,72,69,300.0,IT_software
파이널 컷 프로 강의 : 행복한 마케팅을 위한 Final cut pro X - 기본 + 심화 강의,https://www.udemy.com/course/final-cut-pro-x-t/,Joon Park,4.5,22,85,49,360.0,IT_software
호주 현지 자바 개발자가 묻고 답하는 영어 기술면접 25,https://www.udemy.com/course/java-english-interview-question-25/,Jin Seo,4.8,21,121,26,120.0,IT_software
자율주행 안전 표준 SOTIF(ISO/PAS 21448)의 알기 쉬운 이해,https://www.udemy.com/course/sotif-21448/,양승익 (Yang Seoung Ike) Yang,4.4,20,69,13,90.0,IT_software
Swift 언어로 만드는 Tetris Game,https://www.udemy.com/course/swift-tetris-game/,taehyung CHOI,4.6,19,82,18,390.0,IT_software
Git으로 만드는 전설의 레시피,https://www.udemy.com/course/git-recipe/,Maker Jun,5.0,19,108,19,90.0,IT_software
문과인데 파이썬 할 수 있을까요?,https://www.udemy.com/course/python_for_newbie/,인균 손,5.0,18,73,28,90.0,IT_software
아빠가 들려주는 ggplot2 + 알파,https://www.udemy.com/course/ez-ggplot2/,김지형 M.D.,5.0,16,68,27,210.0,IT_software
HTML 배우기,https://www.udemy.com/course/ssonsalstudy-html/,쟈니 윤,4.8,16,49,16,90.0,IT_software
AI 완전정복을 위한 딥러닝 튜토리얼 part 1,https://www.udemy.com/course/dlpart-1/,성균관 대학교,4.6,15,117,10,300.0,IT_software
"【글로벌 Best】 초보자를 위한 Kubernetes 완벽강의 : 구글 Cloud , AWS 및 Azure",https://www.udemy.com/course/best-kubernetes-cloud-aws-azure/,in28Minutes Official,4.9,14,164,137,810.0,IT_software
혼자배우는 자바스크립트: 기본부터 포트폴리오까지 한번에 끝내기,https://www.udemy.com/course/codingnoona/,Bitna Kim,4.9,13,26,50,540.0,IT_software
작정하고 장고! 핀터레스트 만들기,https://www.udemy.com/course/djust_go_django/,Hyung Seok Park,4.4,12,47,84,900.0,IT_software
