강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
"【글로벌 Best】 머신러닝의 모든 것 with Python, R (한글 자막)",https://www.udemy.com/course/machine-learning-atoz/,Kirill Eremenko,4.5,51,533,320,2670.0,data_science
아빠가 들려주는 [데이터 수집과 정리의 기본],https://www.udemy.com/course/data_basic/,김지형 M.D.,4.0,45,446,6,34.0,data_science
따라하며 익히는 파이썬 데이터수집 마스터,https://www.udemy.com/course/python_crawling/,Namsoo Jang,4.6,40,160,47,630.0,data_science
"【글로벌 Best】 딥러닝의 모든 것 with Python, Tensorflow, Pytorch(한글자막)",https://www.udemy.com/course/best-artificial-neural-networks/,Kirill Eremenko,4.2,33,360,173,1350.0,data_science
【글로벌 Best】 NLP : Python 으로 배우는 자연어 처리 (한글자막),https://www.udemy.com/course/global-top-100-nlp-python-246/,Jose Portilla,4.9,30,251,80,690.0,data_science
【글로벌 Best】 Python : 통계 분석을 위한 파이썬 (한글자막),https://www.udemy.com/course/best-python-statistics/,Samuel Hinton,4.3,26,124,56,510.0,data_science
【글로벌 Best】 Apache Spark 와 Python으로 빅 데이터 다루기 (한글자막),https://www.udemy.com/course/best-apache-spark-python/,Sundog Education by Frank Kane,4.6,24,220,65,420.0,data_science
메타분석 입문을 위한 RevMan 배우기,https://www.udemy.com/course/ez_revman/,김지형 M.D.,4.6,22,90,7,60.0,data_science
【글로벌 Best】 AI 만들기 : 강화학습과 인공신경망 완전 정복,https://www.udemy.com/course/best-ai-17-hours/,Hadelin de Ponteves,4.4,21,347,121,990.0,data_science
"Python 데이터분석 패키지, Numpy와 Pandas 마스터하기",https://www.udemy.com/course/python-numpy-pandas/,ITGO 아이티고,4.3,20,109,77,1410.0,data_science
데이터 리터러시 - 데이터 읽고 쓰기의 기술,https://www.udemy.com/course/maso-ds-excel-onc39/,마소캠퍼스 머니매그넷,4.7,19,79,64,360.0,data_science
너무 쉬운 엑셀 피벗 테이블,https://www.udemy.com/course/pivot_table/,김지형 M.D.,4.9,18,179,16,90.0,data_science
【글로벌 Best】 인공 지능 (AI) 으로 비즈니스 해결하기 (한글자막),https://www.udemy.com/course/best-ai-business/,Hadelin de Ponteves,5.0,18,54,118,900.0,data_science
