강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
Swift4로 배우는 iOS11 프로그래밍 : 인공지능(AI) 아이폰 앱 개발하기,https://www.udemy.com/course/swift4-ios11-ai-app/,Soojin Ro,4.4,221,1079,72,480.0,devel_mobile
안드로이드 공식 언어 : 코틀린(Kotlin) 시작하기(2017년11월 리뉴얼),https://www.udemy.com/course/the_next_android_kotlin/,Tae-hwan kwon,4.5,218,955,43,450.0,devel_mobile
Java 기반 Android 9.0(pie) App 개발 기본 1단계 과정 윤재성,https://www.udemy.com/course/soft-android-90pie-app/,Softcampus Academy,4.7,63,244,33,690.0,devel_mobile
안드로이드 앱개발 부트캠프,https://www.udemy.com/course/learn-android-development-with-kotlin/,Ivy Bae,4.7,59,207,117,1020.0,devel_mobile
핵심만 쉽게 iOS9 and Objective-C,https://www.udemy.com/course/ios9-and-objective-c/,Jin Young Choi,4.7,57,194,143,840.0,devel_mobile
【글로벌 Best】 Android 12 및 Kotlin 개발 완전 정복 (한글 자막),https://www.udemy.com/course/best-android-12-kotlin/,Denis Panjuta,4.9,46,277,232,1980.0,devel_mobile
"오준석의 Flutter 입문. 안드로이드, iOS 개발을 한 번에",https://www.udemy.com/course/flutter-basic/,준석 오,3.8,32,82,43,240.0,devel_mobile
Java 기반 Android 9.0(pie) App 개발 심화 2단계,https://www.udemy.com/course/java-softcampus-android9/,Softcampus Academy,4.4,29,178,33,810.0,devel_mobile
간단한 게임을 만들면서 시작하는 iOS 개발,https://www.udemy.com/course/ios-rjdn/,Atlas _,4.5,27,111,38,270.0,devel_mobile
직접 등록하는 iMessage Sticker - 프로젝트 설정부터 앱스토어 제출까지,https://www.udemy.com/course/how-to-create-imessagesticker-korean/,Dundin J,4.4,27,206,8,44.0,devel_mobile
누구나 따라할 수 있는 안드로이드 클론코딩 ( Feat . 컴공선배 라이징캠프 ),https://www.udemy.com/course/comgongbro_android_clonecoding/,컴공 선배,4.5,25,159,68,540.0,devel_mobile
Flutter Bloc Essential 코스 (Korean),https://www.udemy.com/course/flutter-bloc-essential-korean/,Sangwook Cho,4.9,23,113,84,480.0,devel_mobile
핵심만 쉽게 iOS11 and Swift4,https://www.udemy.com/course/ios11-and-swift4/,Jin Young Choi,4.4,21,81,136,870.0,devel_mobile
컴공선배와 함께하는 안드로이드 클론코딩 with Kotlin,https://www.udemy.com/course/comgongbro_clonecoding/,컴공 선배,4.9,21,80,18,150.0,devel_mobile
초보자도 쉽게 할 수 있는 아이폰 어플 만들기,https://www.udemy.com/course/icearrowswiftbeginner/,Hoonyong Lee,4.7,19,49,72,960.0,devel_mobile
누구나 따라할 수 있는 iOS 클론코딩 ( Feat . 컴공선배 라이징캠프 ),https://www.udemy.com/course/comgongbro_ios_clonecoding/,컴공 선배,4.0,17,101,42,480.0,devel_mobile
JAVA 기반 Android 9.0(Pie) APP 개발 고급 3단계,https://www.udemy.com/course/softcampus-android-90pie-3/,Softcampus Academy,4.1,9,126,40,810.0,devel_mobile
모던 안드로이드 - Jetpack Compose 입문,https://www.udemy.com/course/jetpack-compose/,준석 오,5.0,6,9,48,420.0,devel_mobile
Kotlin(코틀린) 제대로 배우기 (입문-중급),https://www.udemy.com/course/kotlin-c/,ITGO 아이티고,4.4,5,29,72,1230.0,devel_mobile
Kotlin 기반 안드로이드 앱 개발 Part2 - 메뉴와 4대 구성요소,https://www.udemy.com/course/kotlin-part2-4/,Softcampus Academy,4.0,1,1,40,720.0,devel_mobile
Kotlin 기반 안드로이드 앱개발 part1 - UI Programming,https://www.udemy.com/course/kotlin-part1-ui-programming/,Softcampus Academy,0.0,0,1,45,690.0,devel_mobile
Kotlin 기반 안드로이드 앱 개발 Part3-데이터관리와 네트워크,https://www.udemy.com/course/kotlin-part3/,Softcampus Academy,0.0,0,1,47,870.0,devel_mobile
