강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
C++ 언매니지드 프로그래밍,https://www.udemy.com/course/cpp-unmanaged-programming-by-pocu/,Pope Kim,4.9,586,1053,235,1530.0,devel_prg_lang
(한글자막) Python 부트캠프 : 100개의 프로젝트로 Python 개발 완전 정복,https://www.udemy.com/course/best-100-days-python/,Dr. Angela Yu,4.8,490,2204,675,3930.0,devel_prg_lang
실무 프로그래밍 입문 (C#),https://www.udemy.com/course/intro-to-programming-in-csharp-by-pocu/,Pope Kim,4.5,393,698,256,1950.0,devel_prg_lang
파이썬 Python 3 입문 - 미국 실리콘밸리 스타일의 코드로 실전 앱 개발 준비하기,https://www.udemy.com/course/python-beginner-korean/,酒井 潤 (Jun Sakai),4.4,380,1864,290,1710.0,devel_prg_lang
"【글로벌 Best】 React 완벽 가이드 with Redux, Next.js, TypeScript",https://www.udemy.com/course/best-react/,Academind by Maximilian Schwarzmüller,4.7,346,2099,496,2910.0,devel_prg_lang
Keras 를 활용한 Deep Learning 입문,https://www.udemy.com/course/keras-deep-learning/,Dae Bang Kim,4.8,204,1567,26,570.0,devel_prg_lang
C 언매니지드 프로그래밍,https://www.udemy.com/course/c-unmanaged-programming-by-pocu/,Pope Kim,4.7,188,418,342,2280.0,devel_prg_lang
Do it! 코틀린 프로그래밍 (Kotlin Programming),https://www.udemy.com/course/kotlin-programming-with-android/,황영덕 (Sean) Youngdeok Hwang,4.4,158,669,70,1980.0,devel_prg_lang
【글로벌 Best】 JavaScript 알고리즘 & 자료구조 마스터클래스 (한글자막),https://www.udemy.com/course/best-javascript-data-structures/,Colt Steele,4.8,119,949,249,1320.0,devel_prg_lang
OpenCV + Webapp,https://www.udemy.com/course/opencv-webapp/,jeonghyun Kim,4.7,75,7746,18,60.0,devel_prg_lang
데이터 분석 고민하지 마세요! 하루 딱 2시간만에 배우는 파이썬 입문,https://www.udemy.com/course/cloom-python-basic/,클룸 (CLOOM),5.0,67,187,10,150.0,devel_prg_lang
알고리즘 코딩 테스트 입문부터 합격까지 (Feat. 컴공선배 알고리즘캠프),https://www.udemy.com/course/comgong_codingtest/,컴공 선배,4.7,54,392,58,780.0,devel_prg_lang
쉽게 배우는 스위프트 기본 문법,https://www.udemy.com/course/swift-lbt/,wan soo Park,4.2,48,190,61,420.0,devel_prg_lang
알고리듬 및 자료구조 (Java),https://www.udemy.com/course/algorithms-and-data-structures-by-pocu/,Pope Kim,4.7,43,159,267,1620.0,devel_prg_lang
자바 입문하기 (JAVA),https://www.udemy.com/course/firejava/,활활 코딩,4.4,40,145,12,570.0,devel_prg_lang
안드로이드 자바(Android JAVA),https://www.udemy.com/course/ueinvorv/,Softcampus Academy,4.5,38,1169,63,810.0,devel_prg_lang
처음시작하는 파이썬(Python) 윤재성,https://www.udemy.com/course/python-soft/,Softcampus Academy,4.0,35,123,19,300.0,devel_prg_lang
CUDA 프로그래밍 기초,https://www.udemy.com/course/gpu-cuda/,광성 최,3.7,35,145,18,150.0,devel_prg_lang
