강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
개체지향 프로그래밍 및 설계 (Java),https://www.udemy.com/course/object-oriented-programming-and-design-by-pocu/,Pope Kim,4.9,79,269,271,1830.0,software_engineering
DevOps 첫걸음: Docker에서 Rancher를 이용한 CD까지,https://www.udemy.com/course/devops-docker-rancher-cd/,Ralf Yang,3.5,75,555,12,150.0,software_engineering
"내 손으로 직접 구현해보는 VR(가상현실), AR(증강현실) (with Unity)",https://www.udemy.com/course/vr-ar-with-unity/,ITGO 아이티고,4.9,27,144,150,2970.0,software_engineering
【글로벌 Best】 머신 러닝 & AI 로 추천 시스템 구축하기 (한글자막),https://www.udemy.com/course/best-recommender-system/,Sundog Education by Frank Kane,4.8,15,220,127,690.0,software_engineering
【글로벌 Best】 Linux Command Line 부트캠프: 리눅스 초보자부터 고수까지 (한글자막),https://www.udemy.com/course/linux-command-line-colt/,Colt Steele,5.0,14,102,165,960.0,software_engineering
【글로벌】 Java 를 활용한 분산 시스템 및 클라우드 컴퓨팅 (한글자막),https://www.udemy.com/course/java-distributed-system/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,5.0,13,54,51,450.0,software_engineering
【글로벌】 소프트웨어 아키텍처 및 대규모 시스템 설계 (한글자막),https://www.udemy.com/course/software-architecture-design-large-scale-systems/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,4.8,11,47,36,330.0,software_engineering
"【글로벌】 Java 멀티스레딩, 병행성 및 성능 최적화 - 전문가 되기 (한글자막)",https://www.udemy.com/course/java-multi-threading/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,5.0,11,40,34,240.0,software_engineering
디지털 리터러시 - 디지털 전환과 자동화,https://www.udemy.com/course/maso-ds-excel-onc53-2/,마소캠퍼스 머니매그넷,5.0,6,7,15,330.0,software_engineering
Mastering Data Structures & Algorithms using C and C++,https://www.udemy.com/course/datastructurescncpp/,Abdul Bari,4.7,26786,101728,390,3510.0,software_engineering
Master the Coding Interview: Data Structures + Algorithms,https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,Andrei Neagoie,4.7,23561,149662,261,1170.0,software_engineering
Kubernetes Certified Application Developer (CKAD) with Tests,https://www.udemy.com/course/certified-kubernetes-application-developer/,Mumshad Mannambeth,4.7,18630,112550,165,750.0,software_engineering
Spark and Python for Big Data with PySpark,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,Jose Portilla,4.4,18159,95890,67,630.0,software_engineering
Complete Guide to Elasticsearch,https://www.udemy.com/course/elasticsearch-complete-guide/,Bo Andersen,4.6,16292,87933,141,720.0,software_engineering
Microservices Software Architecture: Patterns and Techniques,https://www.udemy.com/course/microservices-software-architecture-patterns-and-techniques/,Binary Brain,4.1,9626,42545,23,60.0,software_engineering
GitHub Ultimate: Master Git and GitHub - Beginner to Expert,https://www.udemy.com/course/github-ultimate/,Jason Taylor,4.5,9147,52765,151,390.0,software_engineering
Core Java Made Easy (Covers the latest Java 17),https://www.udemy.com/course/corejavamadeeasy/,Bharath Thippireddy,4.5,9078,49811,532,1650.0,software_engineering
SOLID Principles: Introducing Software Architecture & Design,https://www.udemy.com/course/solid-design/,Sujith George,4.7,8731,31963,28,120.0,software_engineering
Easy to Advanced Data Structures,https://www.udemy.com/course/introduction-to-data-structures/,William Fiset,4.2,7407,88900,48,510.0,software_engineering
Microservices with Spring Cloud,https://www.udemy.com/course/microservices-with-spring-cloud/,Ken Krueger,4.4,7233,30127,30,270.0,software_engineering
Software Engineering 101: Plan and Execute Better Software.,https://www.udemy.com/course/software-engineering-101/,Kurt Anderson,4.5,6910,28667,93,510.0,software_engineering
"Java Multithreading, Concurrency & Performance Optimization",https://www.udemy.com/course/java-multithreading-concurrency-performance-optimization/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,4.7,6841,39058,34,270.0,software_engineering
Microservices: Designing Highly Scalable Systems,https://www.udemy.com/course/introduction-to-microservices/,Sean Campbell,4.4,6128,21034,22,90.0,software_engineering
Software Development: Better Requirements Gathering Skills,https://www.udemy.com/course/software-requirements-gathering/,Robin Slee | Art | Illustration | iPad | Software Development,4.4,5870,16178,16,90.0,software_engineering
Spring Boot Microservices and Spring Cloud,https://www.udemy.com/course/spring-boot-microservices-and-spring-cloud/,Sergey Kargopolov,4.6,5742,30563,258,1170.0,software_engineering
The Complete Hands-On Introduction to Apache Airflow,https://www.udemy.com/course/the-complete-hands-on-course-to-master-apache-airflow/,Marc Lamberti,4.6,5604,28768,69,360.0,software_engineering
How To Become An Outstanding Solution Architect,https://www.udemy.com/course/how-to-become-an-outstanding-solution-architect/,Mark Farragher,4.3,4815,29849,67,480.0,software_engineering
Clean Code,https://www.udemy.com/course/writing-clean-code/,Academind by Maximilian Schwarzmüller,4.7,4615,29172,95,390.0,software_engineering
UML and Object-Oriented Design Foundations,https://www.udemy.com/course/uml-and-object-oriented-design-foundations/,Karoly Nyisztor • Professional Software Architect,4.5,4298,16828,45,120.0,software_engineering
Computer Science 101: Master the Theory Behind Programming,https://www.udemy.com/course/computer-science-101-master-the-theory-behind-programming/,Kurt Anderson,4.6,4159,22754,94,660.0,software_engineering
AWS Lambda & Serverless Architecture Bootcamp (Build 5 Apps),https://www.udemy.com/course/aws-lambda-serverless-architecture/,Riyaz Sayyad,4.5,4022,31065,301,1530.0,software_engineering
Spring Boot Microservices with Spring Cloud Beginner to Guru,https://www.udemy.com/course/spring-boot-microservices-with-spring-cloud-beginner-to-guru/,"John Thompson • 385,000+ Enrollments Worldwide",4.4,3894,26769,348,2340.0,software_engineering
11 Essential Coding Interview Questions + Coding Exercises!,https://www.udemy.com/course/11-essential-coding-interview-questions/,YK Sugi,4.6,3850,17847,35,120.0,software_engineering
Apache Kafka Series - Kafka Connect Hands-on Learning,https://www.udemy.com/course/kafka-connect/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.5,3849,30478,55,270.0,software_engineering
Getting Started with Web3 Development,https://www.udemy.com/course/getting-started-with-ethereum-solidity-development/,Sebastien Arbogast,4.3,3686,21966,95,1080.0,software_engineering
"RESTful Web Services, Java, Spring Boot, Spring MVC and JPA",https://www.udemy.com/course/restful-web-service-with-spring-boot-jpa-and-mysql/,Sergey Kargopolov,4.6,3517,21345,296,1500.0,software_engineering
Software Architecture for the Enterprise Architect,https://www.udemy.com/course/software-architecture-for-the-enterprise-architect/,Binary Brain,3.6,3494,19180,21,90.0,software_engineering
"Docker - Introducing Docker Essentials, Containers, and more",https://www.udemy.com/course/docker-containers/,David Joseph Katz,4.5,3260,15120,47,360.0,software_engineering
Build a Blockchain and a Cryptocurrency from Scratch,https://www.udemy.com/course/build-blockchain/,David Joseph Katz,4.5,3200,22381,71,390.0,software_engineering
Introduction to Data Structures & Algorithms in Java,https://www.udemy.com/course/introduction-to-data-structures-algorithms-in-java/,Raghavendra Dixit,4.2,2957,22425,103,300.0,software_engineering
Master the Coding Interview: Big Tech (FAANG) Interviews,https://www.udemy.com/course/master-the-coding-interview-big-tech-faang-interviews/,Andrei Neagoie,4.7,2945,34345,290,2220.0,software_engineering
Agile Business Analysis: Getting / Writing Lean Requirements,https://www.udemy.com/course/getting-and-writing-it-requirements-in-a-lean-agile-world/,Tom and Angela Hathaway,4.4,2937,14704,39,270.0,software_engineering
Making Sense of User Stories,https://www.udemy.com/course/making-sense-of-user-stories/,Luminescence Training,4.5,2825,10961,31,120.0,software_engineering
Docker for Java Developers,https://www.udemy.com/course/docker-for-java-developers/,"John Thompson • 385,000+ Enrollments Worldwide",4.4,2700,20258,106,630.0,software_engineering
Java Streams API Developer Guide,https://www.udemy.com/course/java-streams/,Nelson Jamal,4.5,2695,12563,45,150.0,software_engineering
Learn Parallel Programming with C# and .NET,https://www.udemy.com/course/parallel-dotnet/,Dmitri Nesteruk,4.4,2660,18539,54,330.0,software_engineering
Data Structures and Algorithms Bootcamp,https://www.udemy.com/course/data-structures-and-algorithms-bootcamp/,Jonathan Rasmusson,4.5,2407,14821,139,390.0,software_engineering
SOLID Principles of Object-Oriented Design and Architecture,https://www.udemy.com/course/solid-principles-object-oriented-design-architecture/,Vasiliy Zukanov,4.6,2337,10524,38,270.0,software_engineering
"Serverless Framework Bootcamp: Node.js, AWS & Microservices",https://www.udemy.com/course/serverless-framework/,Ariel Weinberger,4.5,2333,61100,77,330.0,software_engineering
Building Recommender Systems with Machine Learning and AI,https://www.udemy.com/course/building-recommender-systems-with-machine-learning-and-ai/,Sundog Education by Frank Kane,4.5,2321,40373,127,690.0,software_engineering
The Linux Command Line Bootcamp: Beginner To Power User,https://www.udemy.com/course/the-linux-command-line-bootcamp/,Colt Steele,4.8,2266,16163,165,960.0,software_engineering
"Data Structures & Algorithms, Level-up for Coding Interviews",https://www.udemy.com/course/cpp-data-structures-algorithms-levelup-prateek-narang/,Prateek Narang,4.6,2194,14752,243,1800.0,software_engineering
Pragmatic System Design,https://www.udemy.com/course/pragmatic-system-design/,Alexey Soshin,4.4,2140,14653,85,270.0,software_engineering
Build a Serverless App with AWS Lambda - Hands On!,https://www.udemy.com/course/build-a-serverless-app-with-aws-lambda-hands-on/,Sundog Education by Frank Kane,4.5,2064,17273,59,450.0,software_engineering
Learning Data Structures in JavaScript from Scratch,https://www.udemy.com/course/learning-data-structures-in-javascript-from-scratch/,Eric Traub,4.6,2052,13923,56,210.0,software_engineering
Apache Airflow: The Hands-On Guide,https://www.udemy.com/course/the-ultimate-hands-on-course-to-master-apache-airflow/,Marc Lamberti,4.6,2032,15079,113,840.0,software_engineering
Data Processing with Logstash (and Filebeat),https://www.udemy.com/course/processing-events-with-logstash/,Bo Andersen,4.4,2009,13916,53,330.0,software_engineering
