강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
Selenium WebDriver with Java -Basics to Advanced+Frameworks,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,Rahul Shetty,4.6,79604,242747,356,3360.0,software_testing
Rest API Testing (Automation) from Scratch-Rest Assured Java,https://www.udemy.com/course/rest-api-automation-testing-rest-assured/,Rahul Shetty,4.6,22827,99965,153,1470.0,software_testing
Selenium 4 WebDriver with Java(Basics + Advance + Architect),https://www.udemy.com/course/selenium-training/,Rahul Arora,4.5,15653,142937,452,8640.0,software_testing
WebServices/Rest API Testing with SoapUI +Real time Projects,https://www.udemy.com/course/webservices-testing-with-soap-ui/,Rahul Shetty,4.5,14192,68756,87,900.0,software_testing
Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,https://www.udemy.com/course/mobile-automation-using-appiumselenium-3/,Rahul Shetty,4.5,13888,72587,166,1710.0,software_testing
The Complete 2022 Software Testing Bootcamp,https://www.udemy.com/course/testerbootcamp/,Tarek Roshdy,4.6,13016,73207,311,2130.0,software_testing
Software Testing Bootcamp with Jira & Agile - Be a QA Lead,https://www.udemy.com/course/learn-software-testing-in-practical-become-a-qa-expert/,Rahul Shetty,4.5,11548,49912,78,630.0,software_testing
Learn JMETER from Scratch on Live Apps -Performance Testing,https://www.udemy.com/course/learn-jmeter-from-scratch-performance-load-testing-tool/,Rahul Shetty,4.5,10931,54339,48,510.0,software_testing
Selenium Webdriver with PYTHON from Scratch + Frameworks,https://www.udemy.com/course/learn-selenium-automation-in-easy-python-language/,Rahul Shetty,4.6,9981,49770,126,1110.0,software_testing
Postman: The Complete Guide - REST API Testing,https://www.udemy.com/course/postman-the-complete-guide/,Valentin Despa,4.5,9683,56657,142,840.0,software_testing
Selenium WebDriver 4 With Java - Novice To Ninja + Interview,https://www.udemy.com/course/selenium-webdriver-with-java-testng-and-log4j/,Lets Kode It,4.5,9346,35604,291,2640.0,software_testing
Robot Framework Test Automation - Level 1 ( Selenium ),https://www.udemy.com/course/robot-framework-level-1/,Bryan Lamb,4.4,8142,32294,77,390.0,software_testing
Selenium WebDriver with Java for beginners,https://www.udemy.com/course/selenium-for-beginners/,Dmitry Shyshkin,4.6,8018,25910,43,390.0,software_testing
Cypress -Modern Automation Testing from Scratch + Frameworks,https://www.udemy.com/course/cypress-tutorial/,Rahul Shetty,4.5,7275,34219,100,1020.0,software_testing
Unit Testing for C# Developers,https://www.udemy.com/course/unit-testing-csharp/,Mosh Hamedani,4.6,7230,35691,86,360.0,software_testing
Quick Introduction to Postman and API Testing for Beginners,https://www.udemy.com/course/postman-crash-course-for-beginners-learn-rest-api-testing/,Valentin Despa,4.6,7014,40210,51,180.0,software_testing
GCP: Complete Google Data Engineer and Cloud Architect Guide,https://www.udemy.com/course/gcp-data-engineer-and-cloud-architect/,Loony Corn,4.2,6790,46887,226,1680.0,software_testing
Learn Cucumber BDD with Java -MasterClass Selenium Framework,https://www.udemy.com/course/cucumber-tutorial/,Rahul Shetty,4.6,6353,32278,85,810.0,software_testing
Selenium WebDriver with Java & Cucumber BDD,https://www.udemy.com/course/automate-tests-using-selenium-webdriver-with-java-cucumber/,Tim Short,4.3,6315,28499,70,390.0,software_testing
POSTMAN API Testing - Step by Step for Beginners,https://www.udemy.com/course/postman-api-testing-step-by-step-for-beginners/,Raghav Pal,4.4,6009,23274,25,150.0,software_testing
Selenium WebDriver With Python 3.x - Novice To Ninja,https://www.udemy.com/course/selenium-webdriver-with-python3/,Lets Kode It,4.5,5791,26449,223,1890.0,software_testing
Build+Deploy+Test with Jenkins 2.0,https://www.udemy.com/course/working-with-jenkins/,Karthik KK,4.3,5565,72571,51,390.0,software_testing
Selenium WebDriver MasterClass (Basic + Advance + Architect),https://www.udemy.com/course/selenium-webdriver-web-based-automation-testing/,LevelUp360° DevOps | Google Cloud | Terraform | Kubernetes | Ansible,4.5,4982,26132,226,2880.0,software_testing
Selenium WebDriver + Java. Complete step by step course.,https://www.udemy.com/course/selenium-webdriver-java-complete-step-by-step-course/,IT Room,4.4,4924,14406,111,390.0,software_testing
ISTQB Foundation Level 2022 Complete Training,https://www.udemy.com/course/foundation-level-training/,Tarek Roshdy,4.5,4813,17535,237,1200.0,software_testing
Learn Protractor(Angular Testing) from scratch +Framework,https://www.udemy.com/course/protractor-tutorial/,Rahul Shetty,4.6,4751,23015,135,1290.0,software_testing
Software Testing Masterclass (2022) - From Novice to Expert,https://www.udemy.com/course/software-testing-masterclass-from-novice-to-expert/,Ozan Ilhan,4.5,4489,24499,93,450.0,software_testing
Testing Angular 4 (previously Angular 2) Apps with Jasmine,https://www.udemy.com/course/testing-angular-apps/,Mosh Hamedani,4.5,4377,22062,29,120.0,software_testing
In-Depth Software Testing Training Course From Scratch,https://www.udemy.com/course/qa-software-testing-training-course/,Vijay Shinde,3.6,4030,23021,17,1560.0,software_testing
Automated Software Testing with Python,https://www.udemy.com/course/automated-software-testing-with-python/,Jose Salvatierra,4.6,3863,26108,142,810.0,software_testing
Master XPath and CSS Selectors for Selenium WebDriver,https://www.udemy.com/course/xpath-and-css-selectors/,Dezlearn Education,4.4,3441,22494,22,150.0,software_testing
Understanding Docker and using it for Selenium automation,https://www.udemy.com/course/understanding-docker-performing-selenium-automation/,Karthik KK,4.4,3344,58704,46,360.0,software_testing
Selenium WebDriver with C# for Beginners + Live Testing Site,https://www.udemy.com/course/seleniumqa/,Tod Vachev,4.3,3203,13660,57,300.0,software_testing
Core java for Automation Testers- Coding made Easy,https://www.udemy.com/course/core-java-tutorials/,Rahul Shetty,4.4,2922,11023,69,480.0,software_testing
Practical Java Unit Testing with JUnit 5,https://www.udemy.com/course/junit5-for-beginners/,Adrian Więch,4.6,2917,10868,28,60.0,software_testing
Top 150+ QA Automation Interview Questions & Resume Tips,https://www.udemy.com/course/qa-automation-interview-questions/,Rahul Shetty,4.6,2887,17060,49,600.0,software_testing
Selenium WebDriver with Java | Project Implement + Framework,https://www.udemy.com/course/selenium-with-java/,Automation World,4.6,2831,14887,344,2430.0,software_testing
HP UFT - Basic to Intermediate,https://www.udemy.com/course/hp-uft-qtp-latest-version/,Pavan Lalwani,4.5,2813,11748,41,300.0,software_testing
Software Testing: Learn Software Testing And Get A Tech Job,https://www.udemy.com/course/get-a-job-in-technology-without-experience/,Waqas Mazhar,4.5,2736,6721,20,90.0,software_testing
Testing React with Jest and Testing Library,https://www.udemy.com/course/react-testing-library/,Bonnie Schulkin,4.6,2726,15781,94,480.0,software_testing
ISTQB Foundation Level chapter-wise exams [2022 updated],https://www.udemy.com/course/istqb-foundation-level-2018-syllabus-exams/,Tarek Roshdy,4.6,2403,12425,0,,software_testing
Robot Framework Test Automation - Level 2,https://www.udemy.com/course/robot-framework-2/,Bryan Lamb,4.5,2385,14782,62,300.0,software_testing
"REST API Testing, Automation using POSTMAN",https://www.udemy.com/course/rest-api-testing-automation-using-postman/,Tejasvi Hegde,4.3,2276,12311,78,480.0,software_testing
HP-UFT 12.0 Automation,https://www.udemy.com/course/hp-uft-120-automation/,Coding Gears | Train Your Brain,4.2,2245,20247,55,780.0,software_testing
Testing Spring Boot: Beginner to Guru,https://www.udemy.com/course/testing-spring-boot-beginner-to-guru/,"John Thompson • 385,000+ Enrollments Worldwide",4.5,2217,19474,214,1020.0,software_testing
Elegant Automation Frameworks with Python and Pytest,https://www.udemy.com/course/elegant-automation-frameworks-with-python-and-pytest/,Brandon Blair,4.4,2111,9602,15,360.0,software_testing
REST APIs with Postman for Absolute Beginners,https://www.udemy.com/course/api-with-postman-for-absolute-beginners/,Valentin Despa,4.7,2094,20721,55,210.0,software_testing
Learn SQL +Security(pen) testing from Scratch,https://www.udemy.com/course/database-testing-tutorial/,Rahul Shetty,4.7,2085,13327,117,810.0,software_testing
Learn Manual Software Testing with Live Project + Jira Tool,https://www.udemy.com/course/learn-manual-software-testing-with-live-project-jira-tool/,Pavan Kumar,4.6,2084,8566,15,1200.0,software_testing
Unit Testing and Test Driven Development in Python,https://www.udemy.com/course/unit-testing-and-tdd-in-python/,Richard Wells,4.3,2043,8799,23,120.0,software_testing
SDET/Test Architect Essentials -Road to Full stack QA,https://www.udemy.com/course/sdettraining-testarchitect-fullstackqa/,Rahul Shetty,4.5,1989,14839,74,780.0,software_testing
Automation Architect - Selenium WebDriver - 9 Live Projects,https://www.udemy.com/course/selenium-automation-architect-tutorials/,Rahul Arora,4.4,1907,14087,296,6210.0,software_testing
Unit Testing Dotnet (.NET) Application with xUnit .net & MOQ,https://www.udemy.com/course/unit-testing-net-core-2x-applications-with-xunit-net/,Aref Karimi,4.2,1781,7807,39,210.0,software_testing
HP LoadRunner 12.55,https://www.udemy.com/course/hp-loadrunner/,Pavan Lalwani,4.4,1750,8044,28,270.0,software_testing
Performance Testing Course with JMeter and Blazemeter,https://www.udemy.com/course/performance-testing-course-with-jmeter-and-blazemeter/,Federico Toledo,4.1,1701,9840,37,120.0,software_testing
Rest API/Web Services testing with SoapUI+Realtime scenarios,https://www.udemy.com/course/web-services-testing-with-soap-ui/,Sashi R,4.1,1664,9104,87,600.0,software_testing
Selenium WebDriver with Java from Basics till Expert level,https://www.udemy.com/course/selenium-tutorials/,Rahul Arora,4.6,1587,5743,360,6720.0,software_testing
Automated Software Testing with Cypress,https://www.udemy.com/course/automated-testing-with-cypress/,Kaniel Outis,4.5,1584,9529,196,960.0,software_testing
Protractor: End to End testing framework for AngularJS Apps,https://www.udemy.com/course/angularjs-protractor-tutorial/,Rahul Arora,4.4,1567,7542,146,1050.0,software_testing
Postman - Learn API Testing from Scratch with Live Projects,https://www.udemy.com/course/postman-api-automation-testing-with-javascript/,Rahul Shetty,4.6,1564,10975,75,720.0,software_testing
Automation Testing using Selenium & Katalon Studio,https://www.udemy.com/course/automation-testing-using-selenium-katalon-studio/,Rahul Singh Rathore,4.4,1559,10002,174,1170.0,software_testing
Wanna Learn JMeter ?Get Training by Industry Experts-23+hrs,https://www.udemy.com/course/basic-to-expert-jmeter/,Automation World,4.3,1491,8852,199,1410.0,software_testing
Azure Devops Crash Course -Build CI/CD release pipelines,https://www.udemy.com/course/azure-devops-fundamental/,Rahul Shetty,4.5,1471,10548,50,450.0,software_testing
Performance Testing using LoadRunner 12.50,https://www.udemy.com/course/performance-testing-using-microfocus-loadrunner-basics-advanced/,kumar Gupta,4.5,1453,6485,140,2040.0,software_testing
XPath locators for Selenium,https://www.udemy.com/course/xpath-locators-for-selenium/,Dmitry Shyshkin,4.6,1450,5340,26,150.0,software_testing
"Selenium WebDriver 4, Cucumber BDD, Java & More! [NEW: 2022]",https://www.udemy.com/course/cucumber-bdd-selenium-java-complete-automation-course/,Gianni Bruno,4.7,1428,5743,226,1260.0,software_testing
REST API Automation With REST Assured - A Complete Guide,https://www.udemy.com/course/rest-api-automation-with-rest-assured-part-2/,Tejasvi Hegde,4.1,1424,8700,108,840.0,software_testing
Selenium WebDriver and Java - Learn Automation with Selenium,https://www.udemy.com/course/automation-testing-with-selenium-and-java-for-beginners/,in28Minutes Official,4.4,1423,18857,426,2340.0,software_testing
"TestNG - All in One (Crash Course), Interview question & MCQ",https://www.udemy.com/course/testng-all-in-one-crash-course/,Fast n Easy Learning,4.4,1415,9206,67,360.0,software_testing
Mobile Automation: Appium Cucumber for Android&iOS + Jenkins,https://www.udemy.com/course/test-automation-with-appium-cucumber-and-ruby/,Alex Petrovski,3.9,1374,8082,59,360.0,software_testing
ISTQB Certified Tester - Foundation Level 2022 - Accredited,https://www.udemy.com/course/accredited-istqb-certified-tester-foundation-level-course/,Wouter Vrijen,4.7,1380,6196,77,690.0,software_testing
Software Testing/ QA: Learn Basic Testing with live examples,https://www.udemy.com/course/software-qa-testing-strong-basics-with-live-examples/,Syam Mohan,3.7,1364,3153,13,120.0,software_testing
Appium - Mobile Testing with Latest 1.22 and Live Projects,https://www.udemy.com/course/appium-selendroid-tutorials/,Rahul Arora,3.8,1352,9961,322,3990.0,software_testing
Automation framework development with Selenium C# (Advanced),https://www.udemy.com/course/framework-development-with-selenium-csharp-advanced/,Karthik KK,4.4,1334,7100,138,960.0,software_testing
"SDET Training: Selenium WebDriver, Java Project & Code Tests",https://www.udemy.com/course/selenium-automation-tester-interview-preparation/,Shaans Training,4.3,1313,15143,77,960.0,software_testing
BDD with Selenium Webdriver and Specflow using C#,https://www.udemy.com/course/bdd-with-selenium-webdriver-and-speckflow-using-c/,Rahul Singh Rathore,4.1,1304,6815,158,1740.0,software_testing
"Software Testing,QA Testing, Manual Testing,SDLC,Test Plan",https://www.udemy.com/course/software-testing-qa-fundamentals-and-manual-testing-concept/,QAEversity .,4.3,1243,4444,13,120.0,software_testing
WebdriverIO - Selenium Webdriver using Node.js & More!,https://www.udemy.com/course/automation-testing-javascript-webdriverio-selenium-more/,Gianni Bruno,4.3,1225,5203,182,1020.0,software_testing
Karate DSL: API Automation and Performance from Zero to Hero,https://www.udemy.com/course/karate-dsl-api-automation-and-performance-from-zero-to-hero/,Artem Bondar,4.6,1224,5686,45,420.0,software_testing
Automation with Ansible Playbooks - Hands On !!,https://www.udemy.com/course/automation-with-ansible/,Shikhar Verma • 50k+ Students Worldwide,4.2,1217,7071,95,540.0,software_testing
WebDriverIO + Node.js -JavaScript UI Automation from Scratch,https://www.udemy.com/course/webdriverio-tutorial-nodejs-javascript/,Rahul Shetty,4.6,1212,7263,76,690.0,software_testing
Advanced Selenium WebDriver with Java and TestNG,https://www.udemy.com/course/advanced-selenium-webdriver/,Dmitry Shyshkin,4.5,1212,7187,52,300.0,software_testing
Introduction to QA Software Testing  Professionalism,https://www.udemy.com/course/introduction-to-sw-qa-testing-professionalism/,Alik Feld,4.1,1186,8993,9,41.0,software_testing
Node.js Unit Testing In-Depth,https://www.udemy.com/course/nodejs-unit-testing-in-depth/,Murtez Alrohani,4.6,1177,29494,45,150.0,software_testing
"Selenium WebDriver with Docker, Jenkins & AWS",https://www.udemy.com/course/selenium-webdriver-with-docker/,Vinoth Selvaraj,4.6,1165,9465,188,960.0,software_testing
"Software Testing: WEB, Mobile, API + 12 tools + ISTQB exam",https://www.udemy.com/course/software-testing-web-mobile-api-22-tools-istqb-exam/,Sergei Semenov,3.7,1154,3716,32,210.0,software_testing
Robot Framework - Jenkins CI & Git Version Control,https://www.udemy.com/course/robot-framework-jenkins-git/,Bryan Lamb,4.6,1151,6476,26,120.0,software_testing
REST API Testing Automation with Java + PostMan + Framework,https://www.udemy.com/course/api-testing-rest-api-automation-testing-from-scratch/,LevelUp360° DevOps | Google Cloud | Terraform | Kubernetes | Ansible,4.2,1070,8616,178,1650.0,software_testing
Learn Robot Framework (Selenium) from Industry Expert|22+hr,https://www.udemy.com/course/robot-python/,Testing World Infotech,4.5,1064,5933,227,1830.0,software_testing
End to End automation testing with Cypress,https://www.udemy.com/course/e2e-cypress/,Karthik KK,4.3,1054,7048,84,630.0,software_testing
Basic Manual Software Testing +Agile+Bugzilla for beginners,https://www.udemy.com/course/manual-software-testing-course-best-for-beginners/,kiran kumar kuchana,4.3,1050,4805,54,570.0,software_testing
"REST Assured API Automation,Allure Reports - An Introduction",https://www.udemy.com/course/rest-api-testing-with-rest-assuredpostman-part1/,Tejasvi Hegde,4.0,1046,12034,51,270.0,software_testing
Webservices API Testing with Rest Assured API & POSTMAN 2021,https://www.udemy.com/course/webservices-testing-restassured-api-tutorial/,Rahul Arora,4.6,1026,6456,187,2280.0,software_testing
WebServices/API Testing by SoapUI & ReadyAPI - Groovy |30+hr,https://www.udemy.com/course/soapui-with-groovy-with-realtime-projects/,Automation World,4.5,1026,5920,256,1860.0,software_testing
Learn API Automation Testing with Python & BDD Framework,https://www.udemy.com/course/python-sdet-rest-api-automation/,Rahul Shetty,4.7,989,7780,78,690.0,software_testing
Mockito: Next-Level Java Unit Testing,https://www.udemy.com/course/mockito3/,Adrian Więch,4.7,973,4455,28,120.0,software_testing
Specialize in QA Manual Testing with Live Project+AGILE+JIRA,https://www.udemy.com/course/specialize-in-software-testing-with-real-examples-agile-jira/,Aakriti E-Learning Academy,4.5,953,13404,53,630.0,software_testing
Cypress V9 - Automation Testing in Detail (35+ hours) - 2022,https://www.udemy.com/course/cypress-io-master-class/,Gianni Bruno,4.7,879,4945,325,2160.0,software_testing
Automated  Software Testing with Puppeteer,https://www.udemy.com/course/automated-headless-browser-testing-with-puppeteer/,Kaniel Outis,4.4,871,4891,171,810.0,software_testing
REST Assured Fundamentals,https://www.udemy.com/course/rest-assured-fundamentals/,James Willett,4.4,864,8699,46,210.0,software_testing
The Expert’s Guide of Selenium with Python | BDD Framework,https://www.udemy.com/course/selenium-with-python/,Automation World,4.4,852,4035,327,2040.0,software_testing
Manual Software Testing With Bug Reporting Tool JIRA  & ALM,https://www.udemy.com/course/manual-software-testing-with-bugreporting-tool-almqc/,kiran kumar kuchana,4.0,842,2978,78,720.0,software_testing
Learn ETL Testing With Informatica PowerCenter Today,https://www.udemy.com/course/etl-testing-for-beginners/,The Startup Central Co.,4.1,832,6118,13,120.0,software_testing
REST Assured API Automation from scratch + Framework + CI,https://www.udemy.com/course/rest-assured-api-automation/,Omprakash Chavan,4.6,818,5683,244,1380.0,software_testing
Selenium Python - Step by Step for Beginners with Framework,https://www.udemy.com/course/selenium-python-step-by-step-for-beginners/,Raghav Pal,4.3,811,3621,56,600.0,software_testing
Beginning Test Driven Development in C++,https://www.udemy.com/course/beginning-test-driven-development-in-c/,Richard Wells,4.3,807,4667,19,150.0,software_testing
Automated Software Testing with WebdriverIO,https://www.udemy.com/course/automated-software-testing-with-webdriverio/,Kaniel Outis,4.6,784,4352,118,600.0,software_testing
"REST API Automation:REST Assured,Serenity BDD Framework",https://www.udemy.com/course/rest-api-automation-with-rest-assuredserenity-bdd-framework/,Tejasvi Hegde,3.6,775,5484,39,330.0,software_testing
Web Security and Hacking for Beginners,https://www.udemy.com/course/one-month-web-security/,One Month,4.4,770,10369,75,300.0,software_testing
Learn Test Driven Development in Java,https://www.udemy.com/course/learn-test-driven-development-in-java/,Fluent Software Solutions,4.2,769,4804,36,180.0,software_testing
Rest API Automation With Rest Assured - Novice To Ninja,https://www.udemy.com/course/rest-api-automation/,Lets Kode It,4.3,767,4012,103,840.0,software_testing
Appium Mobile Automation - Android & iOS + Frameworks + CICD,https://www.udemy.com/course/the-complete-appium-course-for-ios-and-android/,Omprakash Chavan,4.6,765,5493,170,2460.0,software_testing
Automated Software Testing with TestCafe,https://www.udemy.com/course/automated-testing-with-testcafe/,Kaniel Outis,4.3,760,2961,102,540.0,software_testing
Software Testing : Learn Manual/QA Testing + ISTQB CTFL Help,https://www.udemy.com/course/software-testing-and-career-in-qa/,Engineering Mentor,4.3,743,4684,60,390.0,software_testing
SOFTWARE TESTING MASTERCLASS-2022-JIRA | AGILE | API Testing,https://www.udemy.com/course/software-manualtesting/,Testing World,4.5,738,4246,121,840.0,software_testing
Unit testing your Javascript with jasmine,https://www.udemy.com/course/unit-testing-your-javascript-with-jasmine/,Juan Lizarazo,3.7,720,4795,86,360.0,software_testing
Step by Step Rest API Testing using Python + Pytest +Allure,https://www.udemy.com/course/api-testing-python/,Testing World Infotech,4.4,713,4212,195,1710.0,software_testing
JMETER - Master Performance & Load Testing(Basics + Advance),https://www.udemy.com/course/jmeter-tutorial/,Rahul Arora,4.1,697,4364,66,1920.0,software_testing
Spring Boot Fundamentals with Unit Testing (MockMVC/Mockito),https://www.udemy.com/course/spring-boot-fundamentals-with-unit-testing-mockmvcmockito/,Rahul Shetty,4.6,661,4974,47,480.0,software_testing
The Complete Quality Assurance Course- Learn QA from Scratch,https://www.udemy.com/course/the-complete-quality-assurance/,Victor Gorinov,4.4,653,6940,88,570.0,software_testing
Get Expertise in Database Testing(SQL) + Linux for Testers,https://www.udemy.com/course/sql-for-testers/,Automation World,4.4,648,4218,177,1080.0,software_testing
Automation framework with Selenium Java (Advanced),https://www.udemy.com/course/automation-framework-with-selenium/,Karthik KK,4.2,624,4059,110,780.0,software_testing
Advanced Automation Testing with Quick Test Pro (QTP) or UFT,https://www.udemy.com/course/automation-testing-using-quick-test-pro-qtp-training/,QAEversity .,3.8,588,3916,49,480.0,software_testing
Ansible Automation For Beginners to Advance - Step by Step,https://www.udemy.com/course/ansible-the-complete-automation-hands-on-guide-devops-beginners/,Up Degree,3.2,565,15414,40,240.0,software_testing
Load Testing Using HP LoadRunner 12,https://www.udemy.com/course/loadrunner12/,Mentors Net,4.0,544,2818,91,660.0,software_testing
Mastering SmartBear TestComplete,https://www.udemy.com/course/mastering-smartbear-testcomplete/,Lino Tadros,4.3,540,2134,46,570.0,software_testing
Java Design Patterns & Devops to build Selenium Framework,https://www.udemy.com/course/selenium-design-patterns-framework-design/,Rahul Shetty,4.6,539,5548,49,420.0,software_testing
Complete Cucumber Framework for BDD,https://www.udemy.com/course/cucumber-framework-for-behavior-driven-development/,Tim Short,4.5,537,2854,34,150.0,software_testing
Katalon Studio Beginners - Hands-on Training,https://www.udemy.com/course/katalon-studio-beginners-hands-on-training/,Raghav Pal,4.6,526,2086,63,630.0,software_testing
Software testing and Automation of APIs with UFT/QTP,https://www.udemy.com/course/software-testing-api-testing-101-with-uft/,QTP  Tutorial,3.8,511,3540,115,270.0,software_testing
BDD in C# - using Specflow (Cucumber) to develop a REST API and automate software testing,https://www.udemy.com/course/bdd-in-c-using-specflow-cucumber-to-develop-a-rest-api/,Binary Brain,3.7,508,5781,12,90.0,software_testing
Angular automation with Protractor + Typescript + Cucumber,https://www.udemy.com/course/protractor/,Karthik KK,4.6,500,2775,47,420.0,software_testing
DOCKER | Step by Step for Beginners | with Sample Project,https://www.udemy.com/course/what-is-docker-step-by-step-for-beginners/,Raghav Pal,3.9,494,7482,23,300.0,software_testing
Performance Testing Using Locust 1.0,https://www.udemy.com/course/performance-testing-using-locust/,Anuradha Agarwal,4.1,492,2662,59,450.0,software_testing
Software Testing :Effective Test Case Writing & Formatting,https://www.udemy.com/course/test-case/,Testing World,4.3,488,1879,23,90.0,software_testing
"Instant Test Driven Development with Java, JUnit and Mockito",https://www.udemy.com/course/instant-test-driven-development-with-junit/,Ashley Frieze,4.0,488,3949,49,240.0,software_testing
Job oriented - Practical Software QA Testing,https://www.udemy.com/course/job-oriented-practical-software-qa-testing/,Neil De Odhar,4.5,487,2356,12,450.0,software_testing
Java Lambda & Streams [Examples With Selenium WebDriver],https://www.udemy.com/course/java-8-and-beyond-for-testers/,Vinoth Selvaraj,4.4,476,3833,192,780.0,software_testing
Test Automation with Katalon Studio (Selenium WebDriver),https://www.udemy.com/course/automation-testing-using-katalon-studio-selenium-webdriver/,Abode QA,4.9,475,2935,101,630.0,software_testing
