강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
누구나 쉽게 배우는 Git(깃) & Github(깃허브),https://www.udemy.com/course/how_to_start_git_and_github/,Ohsung Kwon,4.0,313,2371,35,210.0,software_tool
이슈트래킹과 협업을 더 쉽게! 전문가에게 배우는 JIRA 첫걸음,https://www.udemy.com/course/atlassian-jira-a-to-z-powered-by-open-source-consulting/,명훈 정,4.3,82,444,38,360.0,software_tool
【글로벌 Best】 Git & Github 실무 활용 완벽 가이드(한글 자막),https://www.udemy.com/course/best-git-github/,Colt Steele,4.7,54,545,187,1020.0,software_tool
【글로벌 Best】 DevOps (데브옵스) : Terraform 을 이용한 인프라 자동화 (한글자막),https://www.udemy.com/course/best-devops-terraform/,Edward Viaene,4.7,13,80,116,660.0,software_tool
【글로벌 Best】 DevOps 학습: 파이프라인 및 Docker를 이용한 Jenkins 와의 CI/CD,https://www.udemy.com/course/best-devops-docker-jenkins-cicd/,Edward Viaene,4.6,9,138,52,270.0,software_tool
레이텍 기초 LaTeX Intro - 오버리프 overleaf 로 문서/논문 작성,https://www.udemy.com/course/latex-korean/,백콤프 baek.comp,4.2,3,9,12,120.0,software_tool
C++중급 개발자로 도약하기:  Qt/부스트 애플리케이션 개발,https://www.udemy.com/course/cpp_development_with_qt_and_boost_library/,Heejune Kim,4.7,133,1282,39,420.0,software_tool
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,https://www.udemy.com/course/docker-mastery/,Bret Fisher,4.6,54387,267328,177,1170.0,software_tool
Docker and Kubernetes: The Complete Guide,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,Stephen Grider,4.7,47907,244283,324,1320.0,software_tool
Learn JIRA with real-world examples (+Confluence bonus),https://www.udemy.com/course/the-complete-guide-to-jira-with-real-world-examples/,Kosh Sarkar,4.6,23730,107209,88,690.0,software_tool
"Git Complete: The definitive, step-by-step guide to Git",https://www.udemy.com/course/git-complete/,Jason Taylor,4.4,23019,106298,84,360.0,software_tool
"DevOps , CI/CD(Continuous Integration/Delivery for Beginners",https://www.udemy.com/course/ci-cd-devops/,John Honai,4.7,21062,53904,13,60.0,software_tool
Alteryx Bootcamp,https://www.udemy.com/course/alteryx-bootcamp/,Hendrik Kleine,4.6,18114,47634,95,390.0,software_tool
Git Going Fast: One Hour Git Crash Course,https://www.udemy.com/course/git-going-fast/,Jason Taylor,4.5,14339,90172,32,90.0,software_tool
"Understanding Jira for users, managers and admins",https://www.udemy.com/course/introduction-to-jira/,Dan LeFebvre,4.4,13311,51730,59,390.0,software_tool
Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,https://www.udemy.com/course/learn-devops-ci-cd-with-jenkins-using-pipelines-and-docker/,Edward Viaene,4.4,13307,65695,52,270.0,software_tool
Learn DevOps: Infrastructure Automation With Terraform,https://www.udemy.com/course/learn-devops-infrastructure-automation-with-terraform/,Edward Viaene,4.4,11929,77922,120,690.0,software_tool
"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",https://www.udemy.com/course/jenkins-from-zero-to-hero/,Ricardo Andre Gonzalez Gomez,4.4,11661,90750,165,630.0,software_tool
Entity Framework in Depth: The Complete Guide,https://www.udemy.com/course/entity-framework-tutorial/,Mosh Hamedani,4.5,11105,52330,79,390.0,software_tool
"DevOps: CI/CD with Jenkins pipelines, Maven, Gradle",https://www.udemy.com/course/devops-and-continuous-integration-with-jenkins-pipelines/,TetraNoodle Team,4.4,10215,38889,30,210.0,software_tool
"GitLab CI: Pipelines, CI/CD and DevOps for Beginners",https://www.udemy.com/course/gitlab-ci-pipelines-ci-cd-and-devops-for-beginners/,Valentin Despa,4.6,9680,51999,80,330.0,software_tool
The Git & Github Bootcamp,https://www.udemy.com/course/git-and-github-bootcamp/,Colt Steele,4.8,8193,52882,187,1020.0,software_tool
