강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
모던 리액트(React)와 리덕스(Redux),https://www.udemy.com/course/react-redux-korean/,Will Park,4.9,528,2127,151,1590.0,devel_web
클린코드 자바스크립트,https://www.udemy.com/course/clean-code-js/,Poco Jang,4.7,237,1830,88,480.0,devel_web
☕ 블랙커피 Vanilla JS Lv1. 문벅스 카페 메뉴 앱 만들기,https://www.udemy.com/course/vanilla-js-lv1/,Maker Jun,4.8,234,1057,42,300.0,devel_web
부트스트랩 4와 함께하는 웹 디자인 마스터 코스 (Bootstrap 4 Web Design Tutorial),https://www.udemy.com/course/bootstrap-4-web-design-tutorial/,동빈 나,4.4,224,799,64,540.0,devel_web
(한글자막) The Web Developer 부트캠프 2022,https://www.udemy.com/course/the-web-developer-bootcamp-2021-korea/,Colt Steele,4.8,190,973,610,3810.0,devel_web
한입 크기로 잘라 먹는 리액트(React.js),https://www.udemy.com/course/winterlood-react-basic/,winterlood 이정환,4.8,180,535,67,1020.0,devel_web
【글로벌 Best】 Typescript :기초부터 실전형 프로젝트까지 with React + NodeJS,https://www.udemy.com/course/best-typescript-21/,Maximilian Schwarzmüller,4.8,124,1098,197,900.0,devel_web
처음시작하는  JavaScript Tutorials 강사 윤재성,https://www.udemy.com/course/softcampus-javascript/,Softcampus Academy,4.7,85,659,26,300.0,devel_web
"DIY Bootstrap 4 - 10시간 만에 부트스트랩 기초부터 마스터하기(+ 웹팩, 프로젝트 제작)",https://www.udemy.com/course/diy-bootstrap-4-10/,Hwang Tae-hyun,4.6,67,295,69,570.0,devel_web
node.js server Tutorials(Node.js 서버 프로그래밍 과정),https://www.udemy.com/course/nodejs-server-tutorials/,Softcampus Academy,4.4,53,342,24,330.0,devel_web
【글로벌 Best】 Docker & Kubernetes: 실전 가이드 -2022년판 (한글자막),https://www.udemy.com/course/docker-kubernetes-2022/,Academind by Maximilian Schwarzmüller,4.8,52,384,259,1410.0,devel_web
