강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
화이트해커가 되기 위한 8가지 웹 해킹 기술,https://www.udemy.com/course/everything-about-white-hat-hacker/,시큐 아카데미,4.8,326,1609,64,240.0
실습 위주의 안드로이드 어플리케이션 해킹 기초 강의 (Android Application Hacking),https://www.udemy.com/course/android-application-hacking/,동빈 나,3.9,20,149,13,150.0
【글로벌】 ISACA 정보 시스템 감사(CISA) 인증 : 합격을 위한 모든 것 (한글자막),https://www.udemy.com/course/isaca-cisa/,Hemang Doshi,5.0,10,20,104,1020.0
디지털 리터러시 - 인터넷과 네트워크 실무 기술,https://www.udemy.com/course/maso-ds-excel-onc53-1/,마소캠퍼스 머니매그넷,5.0,5,7,13,210.0
네트워크 관리사 2급 자격증 따기(필기),https://www.udemy.com/course/2-fxdufg/,ITGO 아이티고,0.0,0,2,102,3390.0
정보보안산업기사 필기 - 정보보안 일반,https://www.udemy.com/course/xyhucfex/,ITGO 아이티고,0.0,0,3,10,300.0
정보보안기사 자격증 따기(실기),https://www.udemy.com/course/ccwcufsm/,ITGO 아이티고,0.0,0,4,30,780.0
반드시 알고 넘어가야할 웹 기술 기초편,https://www.udemy.com/course/web-technology-fundamentals/,크리핵티브 정보보안 교육,4.6,25,528,10,180.0
"성공적인 SQL Injection 공격을 위한, SQL 기본 문법",https://www.udemy.com/course/sql-basic-grammar/,크리핵티브 정보보안 교육,4.6,17,425,14,150.0
웹 해킹과 모의해킹 현업에 대한 이야기,https://www.udemy.com/course/webhacking_into/,크리핵티브 정보보안 교육,3.9,11,431,7,90.0
정보보안 패스파인더,https://www.udemy.com/course/secure-path-finder/,호준 이,4.8,5,105,8,60.0
Learn Ethical Hacking From Scratch,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/,Zaid Sabih,4.6,104615,498374,145,960.0
Kubernetes for the Absolute Beginners - Hands-on,https://www.udemy.com/course/learn-kubernetes/,Mumshad Mannambeth,4.7,46333,173324,58,330.0
The Complete Cyber Security Course : Hackers Exposed!,https://www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/,Nathan House,4.5,42164,231150,124,720.0
The Complete Networking Fundamentals Course. Your CCNA start,https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/,David Bombal,4.6,34520,160233,682,4770.0
The Complete Ethical Hacking Course: Beginner to Advanced!,https://www.udemy.com/course/penetration-testing/,Ermin Kreponic,4.4,28774,285989,113,1500.0
