강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Cisco ASA Clientless VPN,https://www.udemy.com/course/cisco-asa-clientless-vpn/,Jimmy Larsson,4.2,109,704,13,90.0
Hacking the Windows API with Python - Real Ethical Hacking,https://www.udemy.com/course/hacking-the-windows-api-with-python/,Brandon Dennis,4.8,108,2068,20,180.0
CCNA Security 210-260 - IINS v 3.0 - PART 2/6,https://www.udemy.com/course/ccna-security-210-260-iins-v-30-part-26/,sikandar Shaik,3.8,108,570,41,240.0
Elliptic Curve Cryptography Masterclass From Scratch,https://www.udemy.com/course/elliptic-curve-cryptography-masterclass/,Sefik Ilkin Serengil,4.0,108,617,20,240.0
"Hacking Web Applications via PDFs, Images, and Links",https://www.udemy.com/course/hacking-web-applications-via-pdfs-images-and-links/,Dawid Czagan,4.7,107,10148,7,60.0
IPv6 Essentials - Foundations of the new Internet Protocol,https://www.udemy.com/course/ipv6-essentials/,Volker D. Pallas,4.3,107,1276,31,120.0
SSL/TLS and Public Key Infrastructure,https://www.udemy.com/course/ssltls-and-pki/,Manju Choudhary,4.5,106,511,59,210.0
CheckPoint-NGFW Security : Basic Introduction,https://www.udemy.com/course/next-generation-firewall-jam-session-2021/,Amit Upadhyay,4.3,106,13224,10,60.0
CCNP ENTERPRISE -ENCOR -350-401 PART3/5,https://www.udemy.com/course/ccnp_ent_encor_36/,sikandar Shaik,4.4,105,838,82,570.0
Mastering Windows PowerShell 5 Administration,https://www.udemy.com/course/mastering-windows-powershell-5-administration/,Packt Publishing,4.2,105,909,42,240.0
RFID Programming and Security Master Class,https://www.udemy.com/course/rfid-programming/,Arsalan Saleem,4.6,105,929,40,210.0
Manage Windows Server Infrastructure With Active Directory,https://www.udemy.com/course/manage-windows-infrastructure-with-active-directory/,TetraNoodle Team,3.4,105,1459,32,240.0
CCNP Security SENSS 300-206 Deep Dive:,https://www.udemy.com/course/ccnp-security-senss-300-206-deep-dive-with-baldev/,Baldev Singh,4.3,105,734,383,3720.0
Juniper JNCIP BGP,https://www.udemy.com/course/networkingstepbystep-juniper-network-jncip-bgp/,Sam Fitzgerald,3.4,105,1868,23,120.0
Practical Phishing Assessments,https://www.udemy.com/course/practical-phishing-assessments/,Graham Helton,4.6,104,1112,28,90.0
Web Security: A Hands-on Approach,https://www.udemy.com/course/web-security-du/,Wenliang Du,4.7,104,889,36,420.0
Beginner's Course in System Security & Digital Forensics..,https://www.udemy.com/course/beginner-course-in-system-security-digital-forensics/,Sridhar Iyer,3.6,104,17903,24,270.0
Complete IT Monitoring: Installing Nagios on Ubuntu Linux,https://www.udemy.com/course/complete-it-monitoring-installing-nagios-on-linux-server/,Alexandru Serghie,3.8,104,1394,24,39.0
Ethical Hacking - Kali Linux for beginners with an e-book,https://www.udemy.com/course/ethical-hacking-kali-linux-for-beginners/,Marious Kuriata,4.8,104,532,40,180.0
"Virus,Worm,Trojan,Backdoor & Antivirus-Malware and Security",https://www.udemy.com/course/malwares/,infySEC Global,3.6,104,497,37,60.0
OSINT: Open-Source Intelligence Windows edition,https://www.udemy.com/course/osint-open-source-intelligence-windows-edition/,Jeff M,4.3,104,574,123,570.0
4G LTE / LTE-Advanced Wireless Mobile Communications,https://www.udemy.com/course/4g-lte-lte-advanced-wireless-mobile-communications/,"TELCOMA Global 70,000+ Students!",3.7,103,523,23,180.0
ISO 27001:2013 - Information Security Management System,https://www.udemy.com/course/iso-27001-network-communication-security-management/,ISO Horizon,4.4,103,9781,77,480.0
F5 LTM Training from Beginner to Expert,https://www.udemy.com/course/big-ip-f5-load-balancer-ltm-from-beginner-to-expert/,Yugendhira M,4.4,103,532,48,810.0
SDF: Weblog Forensics,https://www.udemy.com/course/sdf-weblog-forensics/,Michael Leclair,4.7,103,766,42,180.0
Metasploit Framework Guide For Certified Hacking,https://www.udemy.com/course/the-ethical-hacking-course-2020-edition-i/,Md Jahidul Said,2.7,102,7700,6,32.0
Wireless Penetration Testing with Kali Linux & Raspberry Pi,https://www.udemy.com/course/penetration-testing-using-raspberry-pi/,Cristian Gradisteanu,4.3,103,1841,26,210.0
Learn Man In The Middle Attacks From Scratch,https://www.udemy.com/course/learn-man-in-the-middle-attacks-from-scratch/,Saad Sarraj,4.5,102,1342,37,180.0
Reverse Engineering Essentials,https://www.udemy.com/course/reverse-engineering-essentials/,Cristina Gheorghisan,4.0,101,1023,35,330.0
Splunk Basics Course,https://www.udemy.com/course/splunk-basics-course/,Ahmed Elakwah,4.0,101,7003,20,120.0
Cyber Security - OSINT and Social Engineering Course,https://www.udemy.com/course/osint-and-social-engineering-course/,FourthWall Technologies,3.9,101,1178,17,150.0
Ethical Hacking For Beginners - Practical Approach,https://www.udemy.com/course/ethical-hacking-for-beginners-practical-approach-by-toshendra-sharma/,Toshendra Sharma,2.7,101,4586,20,180.0
Best configuration tips on MikroTik,https://www.udemy.com/course/best-configuration-tips-on-mikrotik/,Maher Haddad,4.8,100,609,10,120.0
Certified White Hat Hacker Level 2 (CWHH Level 2),https://www.udemy.com/course/certified-white-hat-hacker-level-2/,Cyber Security & Privacy Foundation Pte Ltd,3.9,100,2213,37,240.0
"Java Spring MVC with Hibernate, Spring Security, MySQL",https://www.udemy.com/course/java-spring-framework-41-hibernate/,Infybuzz Learning,3.8,100,720,71,630.0
Cisco Meraki MX Deep Dive,https://www.udemy.com/course/cisco-meraki-mx-deep-dive/,Fady Sharobeem,4.7,100,543,6,180.0
Be A White Hat Hacker and Pen Tester,https://www.udemy.com/course/be-a-certified-ethical-hacker-and-pen-tester/,Eduonix Learning Solutions,4.2,100,3924,25,270.0
IP Addressing and Subnetting From Scratch,https://www.udemy.com/course/ip-addressing-subnetting/,Myra Gul,4.2,99,9744,45,240.0
CCNP SECURITY - SVPN 300-730 PART 2/3,https://www.udemy.com/course/ccnp-security-svpn-300-730-part-23/,sikandar Shaik,4.8,99,605,31,240.0
SC-200: Microsoft Security Operations Analyst,https://www.udemy.com/course/sc-200-microsoft-security-operations-analyst-exam-prep/,Anand Rao Nednur,4.6,98,845,200,750.0
Advanced Web Hacking and Web Security,https://www.udemy.com/course/advanced-web-hacking/,infySEC Global,4.3,98,629,28,120.0
Windows Server 2019 Administration from Beginner to Advanced,https://www.udemy.com/course/windows-server-2019-administration-from-beginner-to-advanced/,Ankit Patel,2.9,98,585,52,270.0
Web Application Security,https://www.udemy.com/course/web-application-security/,The Art Of Service,3.7,98,370,55,150.0
Virtual Private Networks for beginners – Advanced topics,https://www.udemy.com/course/virtual-private-networks-for-beginners-advanced-topics/,Marious Kuriata,4.6,97,706,29,150.0
CCIE Routing & Switching Version 5.0 - Security,https://www.udemy.com/course/cciersv5-security/,sikandar Shaik,4.6,97,1074,40,480.0
Make a Your Own Free VPN with AWS/Cloud Computing!,https://www.udemy.com/course/make-a-your-own-free-vpn-with-awscloud-computing/,Austin Patkos,4.4,97,20766,12,60.0
Full Mobile Hacking Course,https://www.udemy.com/course/full-mobile-hacking-course/,Loi Liang Yang,4.2,96,1164,28,240.0
Reverse Engineering 3: x64dbg Graphical Static Analysis,https://www.udemy.com/course/x64dbg-static-analysis/,Paul Chin,4.3,96,17291,13,90.0
Reverse Engineering and Memory Hacking with Cheat Engine,https://www.udemy.com/course/reverse-engineering-memory-hacking/,Paul Chin,4.7,96,26039,16,180.0
OSINT (Open Source Intelligence) Social Engineering Course,https://www.udemy.com/course/osint-open-source-intelligence-social-engineering-course/,Skill Force Academy,4.7,96,738,23,90.0
"Secure VPS in Ubuntu 20.04: LetsEncrypt, Cloudflare and more",https://www.udemy.com/course/secure-vps-with-ubuntu-2004-nginx-mysql-letsencrypt-cloudflare-more/,JuanD MeGon,4.8,96,600,76,540.0
Information Security Concepts and Secure Design Principles,https://www.udemy.com/course/information-security-concepts-and-secure-design-principles/,Hack2Secure Training,4.4,95,1214,16,120.0
Cyber Security Awareness For Everyone,https://www.udemy.com/course/cyber-security-awareness-for-everyone/,Mohamad Mahjoub,4.6,95,12290,21,60.0
Mr Robot TV Show In Real Life - Cyber Security,https://www.udemy.com/course/mr-robot-tv-show-in-real-life-cyber-security-n/,Musab Zayadneh,3.7,94,17765,96,390.0
Fundamentals of Networking for Effective Backend Design,https://www.udemy.com/course/fundamentals-of-networking-for-effective-backend-design/,Hussein Nasser,4.9,94,1442,37,480.0
"Setup Own Asterisk VoIP Server with Android, iOS & Win Apps",https://www.udemy.com/course/quick-setup-asterisk-voip-server-with-android-ios-win-apps/,Abhilash Nelson,4.5,93,3494,12,90.0
WiFi Fundamentals,https://www.udemy.com/course/wi-fi-fundamentals-with-location-and-analytics/,Ofer Shmueli,3.8,93,3127,45,210.0
